Trajectories
100
,,Pauline:T10,,,Pauline:STRN,,,Pauline:CLAV,,,Pauline:C7,,,Pauline:RSHO,,,Pauline:RUPA,,,Pauline:RELB,,,Pauline:RWRB,,,Pauline:RWRA,,,Pauline:RFIN,,,Pauline:LSHO,,,Pauline:LUPA,,,Pauline:LELB,,,Pauline:LWRA,,,Pauline:LWRB,,,Pauline:LFIN,,,Pauline:RFHD,,,Pauline:LFHD,,,Pauline:LBHD,,,Pauline:RBHD,,,Pauline:RPSI,,,Pauline:LPSI,,,Pauline:RASI,,,Pauline:LASI,,,Pauline:RKNE,,,Pauline:RANK,,,Pauline:RTOE,,,Pauline:RHEE,,,Pauline:LKNE,,,Pauline:LANK,,,Pauline:LTOE,,,Pauline:LHEE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-12.4488,983.498,1106.58,-10.0847,796.205,1186.7,-5.38427,855.721,1399.43,-5.37147,953.056,1476.32,-196.997,885.182,1434.7,-237.729,894.706,1216.53,-242.409,907.941,1113.12,-274.194,833.232,895.53,-247.642,800.7,897.13,-267.181,788.547,824.485,183.023,911.313,1431.01,220.343,911.831,1314.39,211.953,939.177,1101.53,248.632,841.297,888.767,269.546,883.047,894.32,273.481,836.344,807.827,-24.7708,754.777,1638.21,39.1516,758.19,1645.75,75.1153,934.589,1639.79,-48.6286,948.012,1647.15,-82.6287,989.432,1009.94,48.0988,987.469,1015.14,-139.834,819.25,971.432,128.763,822.568,982.866,-153.221,926.008,501.757,-146.404,964.807,100.278,-134.456,802.995,68.7742,-103.667,997.325,78.61,119.85,920.058,494.758,113.55,977.269,113.646,82.3336,809.275,66.5249,69.5117,1005.28,76.081
2,0,-12.341,983.364,1106.59,-9.98988,796.208,1186.66,-5.23224,855.243,1399.47,-5.27283,952.915,1476.34,-196.845,884.968,1434.66,-237.643,894.531,1216.49,-242.337,907.788,1113.13,-274.176,833.113,895.483,-247.651,800.6,897.107,-267.146,788.38,824.505,183.11,911.194,1431.06,220.523,911.729,1314.44,212.267,939.005,1101.58,249.195,840.807,889.003,269.944,882.924,894.45,274.205,836.201,808.125,-25.9272,759.339,1636.43,39.3253,758.17,1645.69,75.1923,934.292,1639.82,-48.5376,947.688,1647.18,-82.5069,989.311,1010,48.195,987.346,1015.13,-139.665,819.029,971.482,128.864,822.55,982.798,-153.109,925.987,501.785,-145.639,964.599,99.2243,-134.472,802.997,68.8339,-103.659,997.318,78.6155,119.917,920.041,494.75,113.575,977.271,113.622,82.3225,809.298,66.5152,69.5268,1005.28,76.063
3,0,-12.2161,983.215,1106.57,-9.893,796.142,1186.65,-5.06491,855.03,1399.48,-5.15199,952.741,1476.34,-196.712,884.726,1434.63,-237.555,894.313,1216.47,-242.281,907.621,1113.13,-274.168,833.014,895.476,-247.652,800.515,897.082,-267.142,788.204,824.542,183.242,911.013,1431.06,220.685,911.564,1314.47,212.553,938.877,1101.65,248.975,838.41,890.156,270.318,882.82,894.517,274.639,836.015,808.09,-25.685,758.731,1636.45,39.8974,759.222,1645.23,75.3101,933.94,1639.83,-48.4321,947.406,1647.21,-82.4319,989.166,1010.02,48.3011,987.208,1015.14,-139.481,818.859,971.468,128.991,822.392,982.775,-152.988,926.1,501.754,-145.608,964.588,99.2701,-134.458,803.004,68.7914,-103.621,997.266,78.5964,120.018,920.01,494.765,113.582,977.277,113.61,82.3321,809.255,66.4941,69.5507,1005.28,76.1123
4,0,-12.0931,983.083,1106.56,-9.75843,796.045,1186.64,-4.93695,854.671,1399.54,-5.05265,952.583,1476.35,-196.59,884.548,1434.6,-237.473,894.146,1216.47,-242.215,907.438,1113.13,-274.149,832.893,895.48,-247.64,800.373,897.044,-267.154,788.028,824.592,183.348,910.877,1431.08,220.855,911.493,1314.53,212.812,938.766,1101.72,251.13,837.468,890.066,270.76,882.766,894.705,274.285,836.21,807.544,-25.5108,758.318,1636.28,39.9663,759.013,1645.19,75.4356,933.647,1639.85,-48.3172,947.063,1647.21,-82.323,989.073,1010.1,48.3897,987.096,1015.15,-139.293,818.675,971.486,128.552,825.007,982.097,-152.886,926.013,501.773,-145.557,964.602,99.3123,-134.428,802.981,68.7604,-103.582,997.307,78.6633,120.077,919.918,494.735,113.608,977.27,113.617,82.3215,809.239,66.5233,69.5533,1005.29,76.0929
5,0,-11.979,982.937,1106.57,-9.68481,795.799,1186.69,-4.73457,854.479,1399.59,-4.96675,952.455,1476.38,-196.471,884.34,1434.58,-237.386,893.949,1216.48,-242.132,907.256,1113.1,-274.114,832.734,895.446,-247.647,800.242,897.031,-267.193,787.871,824.608,183.448,910.749,1431.12,220.968,911.373,1314.57,213.058,938.609,1101.77,251.607,837.347,890.171,271.2,882.561,894.776,275.066,836.035,807.755,-24.1293,753.332,1637.37,40.0456,758.797,1645.15,74.8828,931.805,1639.29,-48.2446,946.791,1647.25,-82.2201,988.955,1010.17,48.4923,986.943,1015.14,-139.15,818.443,971.503,129.227,822.258,982.7,-152.724,926.072,501.804,-145.52,964.638,99.3831,-134.452,802.948,68.7841,-103.536,997.271,78.657,120.171,919.872,494.721,113.614,977.239,113.563,82.3445,809.252,66.4935,69.5494,1005.28,76.0935
6,0,-11.8828,982.813,1106.57,-9.55017,795.473,1186.77,-4.63642,854.193,1399.66,-4.88346,952.287,1476.38,-196.361,884.153,1434.57,-237.316,893.808,1216.5,-242.08,907.056,1113.09,-274.103,832.592,895.426,-247.697,800.158,897.012,-267.14,787.629,824.655,183.555,910.624,1431.17,221.115,911.221,1314.61,213.332,938.5,1101.83,252.001,837.165,890.247,271.667,882.472,894.875,276.476,835.477,808.424,-24.0644,753.26,1636.88,40.152,758.466,1645.12,75.6029,933.078,1639.87,-48.1532,946.477,1647.27,-82.1118,988.832,1010.21,48.6114,986.797,1015.13,-139.029,818.235,971.512,129.298,822.213,982.673,-152.609,926.111,501.78,-145.521,964.615,99.4045,-134.433,802.974,68.7489,-103.482,997.262,78.6709,120.268,919.818,494.694,113.603,977.231,113.578,82.3293,809.221,66.511,69.5642,1005.28,76.0871
7,0,-11.7504,982.716,1106.59,-9.38514,795.254,1186.86,-4.54301,854.129,1399.64,-4.79886,952.129,1476.4,-196.284,884.012,1434.61,-237.242,893.615,1216.48,-242.015,906.873,1113.11,-274.115,832.504,895.476,-247.668,799.983,896.985,-267.206,787.453,824.641,183.677,910.422,1431.17,221.264,910.986,1314.62,213.643,938.307,1101.86,252.288,837.034,890.313,272.176,882.202,894.857,277.026,835.285,808.553,-24.0148,753.282,1636.52,40.2232,758.401,1644.97,75.0684,931.349,1639.31,-48.0724,946.155,1647.29,-82.0173,988.736,1010.26,48.7405,986.665,1015.13,-138.849,817.956,971.538,129.399,822.206,982.64,-152.472,926.076,501.811,-145.463,964.609,99.4151,-134.403,802.926,68.7398,-103.462,997.268,78.714,120.309,919.773,494.658,113.617,977.239,113.594,82.3404,809.211,66.5054,69.5556,1005.29,76.0889
8,0,-11.6561,982.6,1106.6,-9.20866,794.706,1186.99,-4.48109,854.109,1399.64,-4.70338,951.947,1476.39,-196.165,883.823,1434.58,-237.157,893.42,1216.51,-241.964,906.647,1113.1,-274.063,832.319,895.462,-247.619,799.783,896.973,-267.178,787.281,824.703,183.747,910.318,1431.25,221.428,910.786,1314.68,213.989,938.053,1101.86,252.691,836.853,890.409,272.653,881.944,894.917,277.449,835.164,808.661,-23.9928,753.318,1636.23,40.3484,758.005,1644.97,75.1585,931.11,1639.34,-48.0112,945.918,1647.33,-81.9205,988.611,1010.28,48.8943,986.455,1015.09,-138.766,817.802,971.481,129.449,822.15,982.602,-152.382,926.137,501.78,-145.454,964.641,99.47,-134.402,802.922,68.7228,-103.444,997.256,78.7231,120.39,919.69,494.65,113.629,977.24,113.572,82.3366,809.226,66.5067,69.5689,1005.29,76.092
9,0,-11.5498,982.496,1106.6,-9.04856,794.381,1187.09,-4.33121,854.129,1399.6,-4.62474,951.798,1476.4,-196.031,883.562,1434.54,-237.093,893.228,1216.52,-241.915,906.487,1113.13,-274.043,832.083,895.49,-247.605,799.613,897.001,-267.181,787.092,824.708,183.846,910.174,1431.29,221.577,910.665,1314.81,214.309,937.824,1101.91,253.149,836.625,890.53,273.077,881.788,895.079,277.34,835.416,808.371,-23.9403,753.286,1636.07,40.485,757.643,1644.91,75.8354,932.257,1639.89,-47.9421,945.682,1647.36,-81.8018,988.505,1010.32,49.0339,986.284,1015.06,-139.41,814.672,972.748,129.506,822.102,982.526,-152.283,926.035,501.858,-146.094,964.901,100.495,-134.417,802.92,68.696,-103.401,997.253,78.7411,120.434,919.623,494.621,113.648,977.226,113.578,82.3405,809.231,66.4702,69.5637,1005.28,76.1047
