Trajectories
100
,,Pauline:T10,,,Pauline:STRN,,,Pauline:CLAV,,,Pauline:C7,,,Pauline:RSHO,,,Pauline:RUPA,,,Pauline:RELB,,,Pauline:RWRB,,,Pauline:RWRA,,,Pauline:RFIN,,,Pauline:LSHO,,,Pauline:LUPA,,,Pauline:LELB,,,Pauline:LWRA,,,Pauline:LWRB,,,Pauline:LFIN,,,Pauline:RFHD,,,Pauline:LFHD,,,Pauline:LBHD,,,Pauline:RBHD,,,Pauline:RPSI,,,Pauline:LPSI,,,Pauline:RASI,,,Pauline:LASI,,,Pauline:RKNE,,,Pauline:RANK,,,Pauline:RTOE,,,Pauline:RHEE,,,Pauline:LKNE,,,Pauline:LANK,,,Pauline:LTOE,,,Pauline:LHEE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
10,0,-59.6514,235.623,1103.03,-60.4283,42.4817,1188.84,-54.3358,110.888,1399.25,-51.9182,211.05,1473.14,-246.662,145.68,1430.74,-296.089,161.115,1217.06,-305.357,173.488,1114.85,-368.654,66.0738,830.982,-341.449,77.9515,897.422,-362.316,113.543,899.052,134.801,164.777,1428.94,174.273,167.548,1313.65,169.176,197.755,1101.59,240.62,103.111,896.785,243.366,151.151,899.068,277.619,114.171,823.063,-77.9445,19.5151,1639.83,-12.6968,23.1534,1647.21,26.4352,192.694,1654.32,-92.5131,213.843,1654.06,-131.223,242.515,1004.55,1.1213,240.381,1010.53,-189.091,67.6638,968.223,80.8601,72.9906,983.383,-199.351,183.088,503.582,-193.083,233.011,99.8933,-198.974,70.0709,68.1704,-146.512,259.432,77.7781,79.457,173.368,494.397,79.1006,226.207,113.55,36.7543,60.5922,65.7304,38.2435,257.611,76.0746
11,0,-59.6209,235.627,1103,-60.4366,42.559,1188.83,-54.3194,110.993,1399.23,-51.936,211.077,1473.12,-246.688,145.804,1430.7,-296.188,161.245,1217.05,-305.446,173.538,1114.8,-368.857,66.1124,831.025,-341.687,78.025,897.48,-362.53,113.545,899.059,134.782,164.805,1429,174.289,167.574,1313.72,169.299,197.775,1101.68,241.031,102.756,897.013,243.517,151.003,899.207,277.942,114.052,823.26,-77.8621,19.7448,1639.92,-12.6748,23.3251,1647.27,26.4298,192.788,1654.27,-92.5123,213.866,1654.03,-131.192,242.526,1004.53,1.14524,240.35,1010.48,-189.054,67.7067,968.226,80.8798,73.0172,983.401,-199.332,183.155,503.549,-193.097,233.063,99.9247,-198.95,70.0862,68.1555,-146.518,259.408,77.8132,79.4562,173.407,494.389,79.1005,226.203,113.554,36.504,60.5818,65.9118,38.2663,257.579,76.0316
12,0,-59.585,235.687,1102.99,-60.4303,42.6325,1188.82,-54.361,111.057,1399.26,-51.9409,211.192,1473.14,-246.692,145.923,1430.65,-296.264,161.285,1217.04,-305.515,173.612,1114.82,-369.005,66.113,831.119,-341.968,78.0198,897.523,-362.845,113.599,899.164,134.756,164.85,1429.07,174.298,167.575,1313.77,169.358,197.697,1101.65,241.164,102.63,897.121,243.615,150.828,899.313,278.146,113.81,823.455,-77.7728,19.9778,1639.95,-12.539,23.5426,1647.29,26.4511,192.926,1654.24,-92.5198,213.963,1654.02,-131.135,242.592,1004.54,1.19078,240.431,1010.5,-189.031,67.7559,968.262,80.887,73.0814,983.396,-199.314,183.146,503.568,-192.557,232.589,100.188,-198.97,70.0728,68.1719,-146.498,259.391,77.7782,79.4753,173.409,494.398,79.072,226.216,113.568,36.5173,60.5825,65.9451,38.2832,257.647,76.0647
13,0,-59.5248,235.712,1102.98,-60.4368,42.6794,1188.84,-54.3554,111.084,1399.29,-51.958,211.295,1473.15,-246.71,146.025,1430.62,-296.325,161.393,1217.03,-305.595,173.673,1114.8,-369.187,66.0757,831.186,-342.176,77.9801,897.522,-362.932,113.564,899.137,134.732,164.888,1429.11,174.357,167.611,1313.89,169.482,197.633,1101.7,241.323,102.428,897.265,243.715,150.694,899.452,278.356,113.552,823.632,-77.7077,20.187,1640.02,-12.519,23.7051,1647.3,26.4533,193.075,1654.17,-92.544,214.108,1654.03,-131.117,242.617,1004.53,1.20205,240.421,1010.48,-188.996,67.8453,968.225,80.8791,73.0603,983.414,-199.293,183.189,503.608,-192.99,233.037,99.918,-198.989,70.076,68.1707,-146.491,259.406,77.7811,79.5157,173.417,494.378,79.0528,226.227,113.552,36.5605,60.592,65.9363,38.2682,257.604,76.022
14,0,-59.4851,235.751,1102.96,-60.4399,42.7332,1188.88,-54.3727,111.175,1399.27,-52.0134,211.4,1473.15,-246.741,146.15,1430.59,-296.383,161.438,1216.99,-305.647,173.758,1114.79,-369.331,65.9662,831.292,-342.305,77.9288,897.567,-363.09,113.471,899.217,134.696,164.924,1429.18,174.348,167.575,1313.95,169.554,197.564,1101.76,241.654,102.023,897.584,243.863,150.504,899.548,278.748,113.368,824.018,-77.6141,20.3264,1640.06,-12.4594,23.8877,1647.32,26.4607,193.202,1654.13,-92.5417,214.241,1654,-131.096,242.673,1004.53,1.25592,240.476,1010.48,-188.969,67.9279,968.244,81.2205,73.8301,982.78,-199.317,183.205,503.605,-193.056,233.029,99.8778,-199.022,70.0926,68.1315,-146.481,259.454,77.8024,79.5473,173.448,494.384,79.0651,226.217,113.529,36.5652,60.6088,65.9347,38.257,257.633,76.0264
15,0,-59.4515,235.79,1102.96,-60.4478,42.786,1188.89,-54.4186,111.301,1399.28,-52.0336,211.471,1473.11,-246.772,146.246,1430.55,-296.43,161.484,1216.99,-305.725,173.784,1114.76,-369.489,65.9153,831.406,-342.428,77.7689,897.65,-363.232,113.382,899.247,134.653,164.967,1429.23,174.357,167.555,1314.01,169.616,197.455,1101.77,241.93,101.726,897.818,244.019,150.255,899.678,278.811,113.027,823.989,-77.5509,20.5874,1640.09,-12.379,24.1299,1647.35,26.4796,193.366,1654.08,-92.5039,214.285,1653.99,-131.075,242.729,1004.53,1.268,240.515,1010.45,-188.974,67.978,968.287,81.235,73.9069,982.745,-199.302,183.183,503.622,-193.033,233.038,99.9494,-199.021,70.0952,68.1402,-146.508,259.383,77.8036,79.5575,173.463,494.384,79.078,226.218,113.56,36.4805,60.5784,65.9426,38.2876,257.614,76.0804
16,0,-59.3993,235.827,1102.95,-60.4444,42.8769,1188.92,-54.4234,111.31,1399.33,-52.0499,211.562,1473.11,-246.801,146.377,1430.51,-296.474,161.547,1217,-305.79,173.794,1114.75,-369.617,65.784,831.489,-342.53,77.6609,897.743,-363.361,113.369,899.249,134.621,165.023,1429.27,174.337,167.547,1314.05,169.669,197.359,1101.86,242.08,101.447,898.015,244.196,150.032,899.836,278.999,112.767,824.116,-77.4799,20.6721,1640.15,-12.3468,24.2678,1647.41,26.4949,193.558,1654.05,-92.477,214.411,1653.98,-131.035,242.699,1004.52,1.29569,240.562,1010.46,-188.959,68.0204,968.281,81.2426,73.9469,982.731,-199.281,183.165,503.65,-192.568,232.567,100.133,-199.003,70.0826,68.1638,-146.497,259.372,77.7314,79.5599,173.429,494.387,79.095,226.21,113.577,36.7366,60.5967,65.7868,38.2702,257.593,75.9953
17,0,-59.3724,235.891,1102.96,-60.4514,42.9681,1188.94,-54.4633,111.372,1399.32,-52.0638,211.685,1473.13,-246.84,146.53,1430.5,-296.492,161.628,1216.98,-305.849,173.849,1114.74,-369.82,66.5218,830.89,-342.578,77.5983,897.769,-363.452,113.377,899.251,134.601,165.049,1429.33,174.357,167.563,1314.09,169.748,197.255,1101.91,241.733,102.022,897.472,244.645,149.242,899.538,278.895,112.148,824.238,-77.4556,20.8262,1640.19,-12.2601,24.5778,1647.46,26.5147,193.69,1654.01,-92.5129,214.592,1653.99,-130.999,242.798,1004.54,1.31312,240.563,1010.44,-188.957,68.0871,968.314,81.246,73.9299,982.772,-199.299,183.132,503.67,-192.262,232.675,99.3533,-198.998,70.0731,68.1829,-146.482,259.45,77.856,79.5897,173.425,494.376,79.1102,226.19,113.538,36.5026,60.5874,65.9346,38.2791,257.624,76.0358
18,0,-59.3369,235.88,1102.92,-60.4603,43.0498,1188.92,-54.4776,111.466,1399.38,-52.1064,211.763,1473.12,-246.856,146.628,1430.48,-296.539,161.689,1216.94,-305.874,173.861,1114.74,-369.866,65.8931,831.345,-342.627,77.3701,897.9,-363.437,113.376,899.199,134.565,165.116,1429.36,174.369,167.581,1314.16,169.818,197.237,1101.98,241.962,101.521,897.859,244.663,149.181,899.772,279.018,111.949,824.432,-77.4262,20.871,1640.27,-12.2114,24.7703,1647.49,26.4955,193.816,1653.94,-92.5246,214.688,1653.95,-130.988,242.835,1004.52,1.33826,240.571,1010.44,-188.953,68.1535,968.345,81.2685,73.8401,982.831,-199.312,183.148,503.67,-192.216,232.626,99.3701,-198.987,70.0867,68.1334,-146.499,259.415,77.7817,79.597,173.426,494.376,79.1033,226.185,113.539,36.5648,60.5789,65.9789,38.29,257.56,75.9761
19,0,-59.3231,235.976,1102.94,-60.4777,43.0566,1188.95,-54.4957,111.512,1399.38,-52.1364,211.916,1473.11,-246.889,146.696,1430.45,-296.554,161.736,1216.92,-305.946,173.904,1114.73,-369.978,65.746,831.384,-342.715,77.1465,898.021,-363.489,113.294,899.202,134.542,165.156,1429.39,174.368,167.557,1314.18,169.872,197.086,1101.98,242.092,101.257,898.047,244.537,149.357,900.111,279.164,111.761,824.563,-77.4739,21.007,1640.31,-12.1914,25.0213,1647.51,26.5241,194.012,1653.91,-92.534,214.802,1653.96,-130.954,242.843,1004.5,1.37264,240.602,1010.43,-188.937,68.1645,968.364,81.2692,73.787,982.872,-199.322,183.122,503.7,-192.215,232.654,99.4033,-198.977,70.0821,68.1122,-146.495,259.424,77.784,79.5919,173.428,494.373,79.1098,226.188,113.566,36.4663,60.5973,65.9367,38.2862,257.613,76.0171
