,,Danseur:mainD11,,,Danseur:mainD12,,,Danseur:mainD13,,,Danseur:tete1,,,Danseur:tete2,,,Danseur:tete3,,,Danseur:tete4,,,Danseur:epaules1,,,Danseur:epaules2,,,Danseur:epaules3,,,Danseur:epaules4,,,Danseur:brasD2,,,Danseur:brasD3,,,Danseur:colonne2,,,Danseur:colonne3,,,Danseur:colonne4,,,Danseur:homoplateD1,,,Danseur:piedD1,,,Danseur:piedD2,,,Danseur:piedD3,,,Danseur:piedG1,,,Danseur:piedG2,,,Danseur:piedG3,,,Danseur:mainG1,,,Danseur:mainG2,,,Danseur:mainG3,,,Danseur:avantbrasG1,,,Danseur:brasG2,,,Danseur:bassin1,,,Danseur:bassin4,,,Danseur:sternum1,,,Danseur:molletD1,,,Danseur:molletG1,,,Danseur:cuisseG1,,,Danseur:cuisseG2,,,Danseur:cuisseD1,,,Danseur:cuisseD21,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
10,0,377.086,-24.6678,821.955,411.133,-9.94492,743.043,406.031,-86.1186,804.93,220.308,-182.812,1562.02,75.5312,-187.952,1569.85,103.56,11.7345,1614.41,196.292,-1.85219,1594.44,296.509,-128.926,1370.8,141.8,-48.0321,1326.97,-15.5829,-128.591,1383.55,147.362,-166.084,1397.11,384.574,-148.25,1132.61,397.401,-117.983,1043.65,141.131,-203.765,1135.31,107.432,-182.551,1008.52,189.853,-185.013,1004.42,240.562,-223.249,1285.86,252.415,-1.33074,65.9903,283.322,-134.796,114.23,241.018,-187.631,96.4717,-7.56515,-136.562,109.395,40.584,-176.951,84.3511,42.9452,6.8966,70.1985,-23.4646,14.8515,839.643,-74.201,-34.3498,821.135,-50.8299,36.2246,778.499,-91.7348,-73.7958,1054.91,-79.6991,-111.361,1277.22,41.5049,-4.40973,960.883,251.171,-18.0425,974.648,153.307,18.9115,1194.18,291.954,-123.778,464.521,-20.0958,-129.009,475.154,,,,-24.4759,-80.087,615.567,321.415,-104.588,840.394,314.182,-61.5884,716.424
11,0,379.249,-24.6533,821.825,413.715,-10.3066,743.019,408.738,-86.2673,805.138,220.558,-182.932,1562.11,75.6947,-188.55,1570.07,103.323,11.6463,1614.42,196.093,-1.81202,1594.42,296.494,-128.837,1370.76,141.778,-48.0519,1327.02,-15.5579,-128.666,1383.61,147.446,-166.08,1397.15,385.333,-147.774,1132.89,398.466,-117.458,1044,141.185,-203.722,1135.31,107.409,-182.595,1008.6,189.886,-184.975,1004.43,240.627,-223.15,1285.81,252.411,-1.32287,66.002,283.321,-134.784,114.233,241.03,-187.682,96.5016,-7.55323,-136.56,109.415,40.6178,-176.923,84.3312,42.9438,6.88632,70.1938,-23.4376,14.6411,839.56,-74.2805,-34.4298,821.156,-50.8352,36.031,778.425,-91.6905,-73.6509,1054.97,-79.7013,-111.41,1277.31,41.4173,-4.54025,960.812,251.127,-18.0052,974.61,153.166,18.8968,1194.21,291.946,-123.847,464.484,-20.1252,-129.064,475.164,,,,-24.5268,-80.2509,615.596,321.383,-104.596,840.394,314.126,-61.5999,716.437
12,0,381.456,-25.012,821.659,416.427,-10.828,743.012,411.016,-86.7082,805.76,220.758,-182.092,1561.77,75.9272,-188.674,1570.12,103.113,11.5384,1614.46,195.917,-1.62714,1594.47,296.469,-128.752,1370.72,141.737,-48.0649,1327.06,-15.5236,-128.777,1383.68,147.508,-166.09,1397.15,386.032,-147.421,1133.2,399.605,-117.013,1044.4,141.194,-203.705,1135.35,107.429,-182.619,1008.65,189.86,-184.967,1004.49,240.708,-223.09,1285.75,252.412,-1.33191,66.0172,283.319,-134.808,114.225,241.013,-187.738,96.5413,-7.57038,-136.571,109.417,40.5903,-176.932,84.3554,42.9437,6.88686,70.2189,-23.4462,14.4142,839.473,-74.4323,-34.4572,821.186,-50.8652,35.7664,778.327,-91.6445,-73.5206,1055.03,-79.7266,-111.445,1277.37,41.3351,-4.65046,960.791,251.157,-17.9436,974.582,153.057,18.8493,1194.22,291.887,-123.798,464.544,-20.1359,-129.134,475.144,,,,-24.5849,-80.4063,615.615,321.324,-104.628,840.399,314.081,-61.6195,716.422
13,0,384.136,-25.2114,821.693,419.478,-11.2069,743.187,414.262,-86.7903,806.086,220.955,-181.95,1561.81,76.0565,-189.163,1570.28,102.902,11.489,1614.47,195.744,-1.61702,1594.45,296.467,-128.622,1370.69,141.714,-48.0644,1327.09,-15.5187,-128.916,1383.76,147.6,-166.056,1397.13,386.735,-146.902,1133.46,400.691,-116.471,1044.77,141.237,-203.66,1135.35,107.419,-182.611,1008.68,189.856,-184.966,1004.53,240.822,-222.991,1285.71,252.422,-1.35332,66.0092,283.315,-134.771,114.228,241.026,-187.685,96.4726,-7.58348,-136.581,109.403,40.5885,-177.018,84.4233,42.9154,6.89493,70.2461,-23.4604,14.2763,839.388,-74.5406,-34.5223,821.254,-50.935,35.6637,778.239,-91.6095,-73.4055,1055.11,-79.723,-111.538,1277.45,41.2387,-4.79908,960.737,251.106,-17.8716,974.55,152.918,18.8535,1194.27,291.888,-123.869,464.509,-20.1819,-129.232,475.15,,,,-24.6441,-80.5504,615.596,321.25,-104.65,840.387,314.037,-61.6658,716.391
14,0,386.757,-25.3692,821.797,422.599,-11.7572,743.342,417.064,-86.8566,806.55,221.129,-181.717,1561.88,76.2372,-189.56,1570.42,102.748,11.4084,1614.48,195.583,-1.49986,1594.43,296.442,-128.504,1370.65,141.655,-48.0957,1327.12,-15.4778,-129.056,1383.82,147.679,-166.118,1397.15,387.543,-146.459,1133.74,401.845,-116.033,1045.23,141.282,-203.631,1135.36,107.455,-182.653,1008.73,189.848,-184.966,1004.6,240.92,-222.896,1285.68,252.391,-1.35015,66.0178,283.304,-134.779,114.246,241.018,-187.68,96.4856,-7.5657,-136.615,109.407,40.5775,-176.92,84.3398,42.9195,6.86026,70.2341,-23.3197,13.0999,838.493,-74.9604,-34.0132,820.972,-51.0182,35.4567,778.126,-91.55,-73.2552,1055.15,-79.7301,-111.566,1277.5,41.1505,-4.89714,960.738,251.099,-17.8168,974.519,152.795,18.8666,1194.3,291.48,-123.262,464.677,-20.2197,-129.351,475.16,,,,-24.6763,-80.7055,615.593,321.199,-104.68,840.394,313.993,-61.6996,716.384
15,0,389.667,-25.4611,821.875,425.969,-12.1699,743.607,419.806,-87.2628,807.256,221.277,-181.592,1561.87,76.3934,-189.805,1570.45,102.562,11.3751,1614.46,195.445,-1.46487,1594.41,296.432,-128.344,1370.62,141.619,-48.0939,1327.15,-15.4422,-129.169,1383.87,147.768,-166.176,1397.22,388.3,-146.074,1134.11,403.034,-115.718,1045.73,141.335,-203.564,1135.32,107.444,-182.658,1008.79,189.847,-184.936,1004.62,241.017,-222.796,1285.66,252.393,-1.32852,66.0344,283.307,-134.821,114.219,241.041,-187.674,96.4642,-7.57615,-136.619,109.369,40.598,-176.935,84.3409,42.909,6.86316,70.2355,-23.5288,14.0334,839.192,-75.3197,-33.7883,820.966,-50.9771,35.2145,778.028,-91.5116,-73.1602,1055.2,-79.7187,-111.669,1277.54,41.0837,-4.99843,960.691,251.058,-17.7055,974.479,152.689,18.8861,1194.36,291.64,-123.646,464.617,-20.2716,-129.475,475.161,,,,-24.7343,-80.7894,615.526,321.139,-104.683,840.379,313.933,-61.6815,716.387
16,0,392.629,-25.7331,822.096,429.391,-12.4494,743.893,423.15,-87.3829,807.649,221.455,-181.392,1561.88,76.5397,-190.05,1570.51,102.411,11.2706,1614.44,195.295,-1.29324,1594.43,296.421,-128.202,1370.6,141.588,-48.0792,1327.17,-15.3873,-129.282,1383.9,147.846,-166.152,1397.22,389.057,-145.642,1134.5,404.262,-115.381,1046.15,141.397,-203.569,1135.38,107.436,-182.628,1008.82,189.842,-184.937,1004.67,241.137,-222.683,1285.62,252.394,-1.35577,66.029,283.285,-134.802,114.243,241.012,-187.759,96.5422,-7.56804,-136.636,109.395,40.6036,-176.964,84.339,42.8881,6.83374,70.2468,-23.6176,13.9552,839.13,-75.4305,-33.8807,820.998,-51.0819,35.1753,777.991,-91.4584,-73.0735,1055.26,-79.7063,-111.78,1277.57,40.9776,-5.2084,960.643,251.073,-17.5549,974.427,152.563,18.903,1194.41,291.6,-123.645,464.628,-20.3088,-129.597,475.162,,,,-24.7692,-80.8821,615.494,321.075,-104.661,840.391,313.889,-61.7171,716.38
17,0,395.698,-25.6389,822.413,433.034,-12.8462,744.286,425.963,-87.42,808.519,221.641,-181.245,1561.89,76.6923,-190.737,1570.73,102.276,11.1901,1614.42,195.126,-1.33875,1594.37,296.413,-128.053,1370.56,141.522,-48.1018,1327.17,-15.357,-129.433,1383.94,147.914,-166.207,1397.23,389.814,-145.257,1134.86,405.509,-114.911,1046.65,141.467,-203.487,1135.34,107.432,-182.634,1008.82,189.855,-184.905,1004.68,241.288,-222.554,1285.63,252.408,-1.32376,66.0519,283.306,-134.82,114.245,241.035,-187.709,96.4878,-7.58594,-136.638,109.375,40.5841,-177.016,84.3712,42.8617,6.86201,70.2787,-23.7079,13.9238,839.083,-75.559,-33.9253,821.025,-51.2172,35.083,777.943,-91.4378,-73.004,1055.3,-79.6757,-111.846,1277.61,40.888,-5.30384,960.626,251.066,-17.4738,974.376,152.434,18.9184,1194.43,291.597,-123.802,464.611,-20.3321,-129.705,475.155,,,,-24.8234,-81.0033,615.471,321.03,-104.673,840.381,313.809,-61.7446,716.359
18,0,398.815,-25.764,822.547,436.919,-13.098,744.86,429.619,-87.4636,808.98,221.871,-181.042,1561.85,76.7131,-191.092,1570.8,102.138,11.1238,1614.39,195.033,-1.2001,1594.35,296.431,-127.924,1370.55,141.495,-48.094,1327.18,-15.3043,-129.603,1383.97,147.971,-166.235,1397.24,390.565,-144.892,1135.2,406.715,-114.373,1047.24,141.524,-203.425,1135.31,107.459,-182.7,1008.87,189.851,-184.877,1004.69,241.388,-222.423,1285.6,252.407,-1.37146,66.0264,283.299,-134.839,114.225,241.049,-187.758,96.5006,-7.59075,-136.658,109.375,40.563,-176.99,84.3457,42.8586,6.82268,70.2576,-23.8292,13.9159,839.034,-75.766,-33.901,821.002,-51.3531,35.0237,777.886,-91.4,-72.9591,1055.34,-79.8082,-111.448,1277.44,40.8036,-5.41868,960.611,251.073,-17.3906,974.297,152.284,19.0399,1194.49,291.53,-123.759,464.619,-20.372,-129.838,475.128,,,,-24.8601,-81.1056,615.411,320.97,-104.623,840.371,313.747,-61.695,716.347
19,0,402.034,-25.8444,822.762,440.778,-13.2897,745.38,432.999,-87.7081,809.773,222.045,-180.882,1561.87,76.8314,-191.603,1571.08,102.014,11.0491,1614.37,194.898,-1.17091,1594.35,296.43,-127.792,1370.51,141.447,-48.1558,1327.16,-15.2784,-129.735,1383.99,148.052,-166.215,1397.23,391.384,-144.524,1135.58,407.966,-114.043,1047.7,141.614,-203.44,1135.37,107.452,-182.69,1008.89,189.863,-184.842,1004.71,241.525,-222.291,1285.56,252.384,-1.33468,66.0368,283.294,-134.847,114.211,241.03,-187.721,96.467,-7.59152,-136.669,109.358,40.5711,-177.013,84.3258,42.8455,6.85447,70.2991,-23.9293,14.005,838.967,-75.9419,-33.9221,821.052,-51.5008,34.9654,777.897,-91.3744,-72.9575,1055.37,-79.7694,-111.585,1277.47,40.7154,-5.57836,960.568,251.084,-17.3048,974.21,152.157,19.1173,1194.48,291.569,-123.912,464.604,-20.4128,-129.92,475.12,,,,-24.9234,-81.157,615.365,320.916,-104.537,840.343,313.657,-61.6759,716.319
