,,Danseur:mainD11,,,Danseur:mainD12,,,Danseur:mainD13,,,Danseur:tete1,,,Danseur:tete2,,,Danseur:tete3,,,Danseur:tete4,,,Danseur:epaules1,,,Danseur:epaules2,,,Danseur:epaules3,,,Danseur:epaules4,,,Danseur:brasD2,,,Danseur:brasD3,,,Danseur:colonne2,,,Danseur:colonne3,,,Danseur:colonne4,,,Danseur:homoplateD1,,,Danseur:piedD1,,,Danseur:piedD2,,,Danseur:piedD3,,,Danseur:piedG1,,,Danseur:piedG2,,,Danseur:piedG3,,,Danseur:mainG1,,,Danseur:mainG2,,,Danseur:mainG3,,,Danseur:avantbrasG1,,,Danseur:brasG2,,,Danseur:bassin1,,,Danseur:bassin4,,,Danseur:sternum1,,,Danseur:molletD1,,,Danseur:molletG1,,,Danseur:cuisseG1,,,Danseur:cuisseG2,,,Danseur:cuisseD1,,,Danseur:cuisseD21,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
62,0,547.595,-2.64827,885.84,608.845,8.84904,823.807,573.263,-67.5956,876.623,217.77,-179.028,1562.09,72.8512,-188.877,1569.98,96.5539,12.4856,1613.15,189.584,0.775994,1593.51,290.279,-127.246,1374.23,138.76,-45.9873,1326.59,-17.8585,-129.772,1382.85,144.563,-164.022,1397.05,429.015,-138.965,1167.33,473.031,-103.31,1092.26,143.097,-202.69,1135.89,109.2,-182.206,1008.62,191.822,-182.858,1004.43,239.968,-220.157,1287.31,252.35,-1.33433,66.015,283.407,-134.954,114.185,241.098,-187.832,96.4937,-7.48731,-137.044,109.494,40.7763,-177.044,84.4381,42.7124,6.93104,70.284,-25.6615,13.7196,836.929,-76.8997,-34.8092,819.028,-53.903,34.7134,775.861,-91.8235,-73.5986,1053.59,-81.3387,-112.852,1275.55,39.9533,-6.72076,960.432,249.457,-13.6903,974.028,149.653,19.8271,1193.93,291.587,-123.785,464.585,-19.7878,-131.74,475.344,-39.6229,-86.1745,825.034,-25.2452,-83.7744,616.374,321.119,-100.313,840.018,312.7,-58.6591,715.876
63,0,550.23,-1.71218,887.92,611.796,9.26905,826.048,575.734,-66.9601,878.401,217.462,-180.063,1562.82,72.6126,-188.22,1570.03,96.3493,12.778,1612.83,189.408,1.00012,1593.25,290.056,-127.174,1374.39,138.638,-45.9255,1326.59,-18.0357,-129.696,1382.76,144.351,-163.983,1397.07,429.602,-138.87,1168.17,474.217,-102.963,1093.33,143.083,-202.671,1135.93,109.215,-182.201,1008.64,191.818,-182.894,1004.44,239.892,-220.157,1287.49,252.361,-1.28347,66.0141,283.396,-134.917,114.171,241.085,-187.832,96.4726,-7.50134,-137.023,109.491,40.7742,-176.994,84.4049,42.7147,6.94211,70.3256,-25.5734,13.6142,836.795,-76.7893,-34.8779,818.87,-53.7288,34.6096,775.669,-91.7716,-73.5992,1053.45,-81.4804,-112.757,1275.39,40.0213,-6.7404,960.392,249.467,-13.6536,974.04,149.594,19.7354,1193.95,291.603,-123.741,464.601,-19.7832,-131.667,475.339,-39.8175,-85.6943,824.924,-25.1536,-83.1793,615.951,321.155,-100.316,840.056,312.743,-58.667,715.872
64,0,552.987,-1.03062,889.794,614.937,10.0249,828.476,578.198,-66.3842,880.234,217.114,-180.159,1563.06,72.1443,-188.596,1570.41,96.1619,13.1192,1612.58,189.201,1.12954,1593,289.822,-127.124,1374.52,138.511,-45.8586,1326.57,-18.2353,-129.663,1382.67,144.137,-163.863,1397.06,430.209,-138.806,1168.93,475.286,-102.844,1094.55,143.081,-202.606,1135.92,109.235,-182.167,1008.67,191.846,-182.845,1004.47,239.829,-220.148,1287.66,252.37,-1.2961,66.03,283.425,-134.939,114.198,241.098,-187.834,96.5216,-7.49001,-137.038,109.479,40.7675,-177.007,84.3595,42.7163,6.90866,70.278,-25.4312,13.5291,836.689,-76.6848,-34.9166,818.683,-53.4962,34.4746,775.527,-91.7372,-73.5802,1053.29,-81.6295,-112.665,1275.22,40.0676,-6.66515,960.369,249.494,-13.6672,974.047,149.557,19.756,1193.9,291.617,-123.745,464.604,-19.778,-131.609,475.345,-39.7756,-85.5849,824.912,-25.1851,-83.6469,616.41,321.191,-100.319,840.041,312.778,-58.6513,715.865
65,0,555.531,-0.478657,891.685,617.972,10.566,830.791,580.303,-65.5038,881.962,216.538,-179.022,1562.8,71.9565,-187.533,1570.2,95.9858,13.402,1612.32,189.052,1.3266,1592.85,289.612,-127.054,1374.66,138.391,-45.8585,1326.55,-18.4165,-129.583,1382.59,143.895,-163.802,1397.09,430.728,-138.686,1169.62,476.276,-102.837,1095.66,143.065,-202.642,1135.99,109.227,-182.161,1008.66,191.859,-182.882,1004.5,239.721,-220.215,1287.82,252.377,-1.28812,66.0071,283.416,-134.951,114.19,241.09,-187.806,96.4976,-7.49427,-137.032,109.497,40.7536,-176.975,84.3745,42.7092,6.91982,70.2612,-25.2523,13.4223,836.513,-76.5249,-35.004,818.554,-53.248,34.4063,775.309,-91.7258,-73.5998,1053.15,-81.7397,-112.567,1275.07,40.111,-6.54804,960.348,249.552,-13.6839,974.033,149.484,19.7407,1193.9,291.642,-123.764,464.596,-19.7754,-131.554,475.329,-39.7287,-85.4936,824.94,-25.1765,-83.6104,616.407,321.225,-100.281,840.044,312.828,-58.6753,715.868
66,0,558.162,0.078105,893.899,620.901,11.0964,833.031,582.846,-65.5209,884.054,216.151,-179.012,1562.97,72.8673,-184.113,1569.61,95.8621,13.7382,1612.09,188.893,1.47453,1592.63,289.396,-126.975,1374.76,138.249,-45.7906,1326.54,-18.5967,-129.533,1382.51,143.741,-163.672,1397.09,431.253,-138.59,1170.36,477.28,-102.674,1096.82,143.03,-202.639,1136.01,109.231,-182.146,1008.65,191.884,-182.824,1004.49,239.654,-220.198,1287.98,252.371,-1.30219,66.0065,283.44,-134.955,114.2,241.09,-187.808,96.47,-7.50646,-137.034,109.507,40.756,-177.049,84.4539,42.7486,6.92116,70.2876,-25.0946,13.3228,836.384,-76.3518,-35.1042,818.429,-52.9578,34.2228,775.168,-91.723,-73.6179,1053.04,-81.8846,-112.45,1274.92,40.1719,-6.50242,960.332,249.603,-13.6839,974.049,149.415,19.6897,1193.86,291.67,-123.756,464.62,-19.7756,-131.506,475.346,-39.6667,-85.424,824.925,-25.1655,-83.5067,616.38,321.291,-100.265,840.061,312.871,-58.6569,715.878
67,0,560.674,0.707425,895.756,623.816,11.7413,835.429,585.074,-64.8315,885.739,215.77,-178.981,1563.1,72.4509,-183.949,1569.74,95.7006,14.0602,1611.85,188.72,1.54849,1592.46,289.181,-126.956,1374.87,138.107,-45.7636,1326.52,-18.7937,-129.435,1382.41,143.545,-163.558,1397.07,431.709,-138.556,1171.04,478.31,-102.433,1097.86,143.025,-202.651,1136.05,109.24,-182.123,1008.64,191.923,-182.806,1004.5,239.532,-220.245,1288.11,252.373,-1.31424,66.0072,283.421,-134.942,114.186,241.095,-187.807,96.4765,-7.50092,-137.007,109.505,40.7561,-177.022,84.4286,42.7228,6.93823,70.2754,-24.9045,13.2503,836.288,-76.2214,-35.1079,818.266,-52.7075,34.1079,774.989,-91.7179,-73.6219,1052.89,-82.0078,-112.318,1274.77,40.2037,-6.4582,960.28,249.699,-13.5568,974.083,149.353,19.6658,1193.83,291.685,-123.774,464.621,-19.7617,-131.432,475.34,-39.6632,-85.3366,824.944,-25.1262,-83.4741,616.394,321.327,-100.234,840.067,312.915,-58.658,715.903
68,0,563.145,1.51383,897.59,626.771,12.286,837.762,587.388,-64.1824,887.38,215.458,-178.902,1563.23,71.9996,-183.807,1569.85,95.563,14.3685,1611.7,188.6,1.66566,1592.35,288.982,-126.949,1374.98,137.963,-45.7021,1326.51,-18.9989,-129.365,1382.32,143.321,-163.547,1397.08,432.113,-138.423,1171.6,479.308,-102.331,1098.89,142.974,-202.668,1136.08,109.243,-182.121,1008.61,191.948,-182.821,1004.5,239.436,-220.202,1288.22,252.374,-1.29748,66.0331,283.415,-134.934,114.216,241.075,-187.84,96.5143,-7.50338,-137.005,109.495,40.7462,-176.966,84.4051,42.7368,6.9143,70.2655,-24.6987,13.1679,836.135,-75.8281,-35.3968,818.191,-52.6243,34.1265,774.915,-91.7659,-73.6559,1052.74,-82.2017,-112.228,1274.64,40.2617,-6.29954,960.294,249.812,-13.3969,974.151,149.293,19.6199,1193.81,291.699,-123.742,464.594,-19.7517,-131.413,475.346,-39.6386,-85.249,824.952,-25.0881,-83.4133,616.391,321.378,-100.238,840.063,312.956,-58.6306,715.895
69,0,565.678,2.02419,899.538,629.443,12.9337,839.969,589.206,-63.3568,889.048,215.133,-178.828,1563.31,71.5556,-183.511,1569.94,95.4364,14.6998,1611.55,188.473,1.81838,1592.25,288.761,-126.955,1375.07,137.856,-45.7325,1326.46,-19.199,-129.317,1382.22,143.167,-163.447,1397.08,432.538,-138.412,1172.18,480.252,-102.137,1099.86,142.966,-202.672,1136.08,109.276,-182.201,1008.61,191.963,-182.804,1004.48,239.324,-220.171,1288.31,252.388,-1.3006,66.0222,283.42,-134.952,114.209,241.082,-187.75,96.4649,-7.51472,-137.01,109.497,40.7367,-177.03,84.4766,42.7398,6.92808,70.2487,-24.4811,13.1025,836.035,-75.6744,-35.383,818.071,-52.3896,34.1399,774.85,-91.7562,-73.6003,1052.56,-82.3181,-112.16,1274.49,40.3309,-6.26388,960.288,249.915,-13.3561,974.166,149.209,19.565,1193.75,291.719,-123.695,464.582,-19.7447,-131.365,475.341,-39.6349,-85.1117,824.93,-25.0717,-83.3789,616.414,321.45,-100.173,840.07,313.004,-58.6212,715.894
70,0,567.881,2.6753,901.356,632.18,13.4889,842.292,591.656,-63.1791,890.954,214.869,-178.703,1563.35,71.132,-183.329,1570,95.2658,14.947,1611.44,188.342,1.97742,1592.16,288.561,-126.93,1375.16,137.71,-45.6755,1326.37,-19.3874,-129.213,1382.13,142.994,-163.39,1397.1,432.993,-138.313,1172.88,481.11,-101.945,1100.91,142.913,-202.698,1136.13,109.313,-182.139,1008.58,192.017,-182.8,1004.47,239.212,-220.153,1288.42,252.392,-1.31073,66.0111,283.43,-134.946,114.201,241.096,-187.805,96.5263,-7.52328,-137.002,109.501,40.7353,-177.035,84.4709,42.7454,6.90994,70.2435,-24.2619,13.0423,835.861,-75.4814,-35.3924,817.95,-52.1668,34.0861,774.724,-91.7852,-73.5863,1052.39,-82.4972,-112.063,1274.34,40.3835,-6.20376,960.264,249.992,-13.2241,974.23,149.159,19.5583,1193.71,291.748,-123.769,464.601,-19.7149,-131.338,475.373,-39.5733,-85.043,824.923,-25.0416,-83.3353,616.421,321.508,-100.177,840.074,313.03,-58.5937,715.89
71,0,570.267,3.31876,903.33,634.939,14.1744,844.575,593.765,-62.7315,892.756,214.619,-178.583,1563.37,70.8528,-182.912,1569.99,95.193,15.1782,1611.35,188.236,2.15849,1592.1,288.328,-126.947,1375.23,137.572,-45.65,1326.4,-19.5726,-129.149,1382.04,142.779,-163.261,1397.05,433.406,-138.28,1173.55,482.016,-101.683,1102.01,142.869,-202.715,1136.15,109.311,-182.148,1008.57,192.037,-182.814,1004.46,239.099,-220.18,1288.52,252.393,-1.29072,66.013,283.432,-134.94,114.195,241.091,-187.779,96.4858,-7.50714,-137.007,109.491,40.7275,-176.956,84.3962,42.7518,6.94586,70.2578,-24.0203,13.0331,835.759,-75.5132,-35.163,817.72,-51.8009,33.9573,774.6,-91.8204,-73.5676,1052.2,-82.6605,-112.013,1274.18,40.4307,-6.13636,960.246,250.093,-13.212,974.23,149.081,19.5616,1193.68,291.78,-123.783,464.598,-19.6865,-131.308,475.355,-39.568,-85.0166,824.933,-24.994,-83.2747,616.402,321.577,-100.135,840.09,313.075,-58.5219,715.854
72,0,572.474,3.74221,905.181,637.438,14.6803,846.762,595.444,-61.5752,894.22,214.335,-178.481,1563.36,70.5741,-182.528,1569.94,95.1053,15.4392,1611.27,188.16,2.30218,1592.02,288.089,-126.962,1375.33,137.437,-45.6351,1326.3,-19.7438,-129.061,1381.97,142.58,-163.138,1397.08,433.776,-138.096,1174.22,482.858,-101.513,1103,142.842,-202.775,1136.17,109.384,-182.154,1008.53,192.102,-182.827,1004.47,238.948,-220.123,1288.6,252.395,-1.27102,66.051,283.429,-134.963,114.196,241.108,-187.82,96.5302,-7.50448,-136.979,109.501,40.7452,-176.984,84.3892,42.7723,6.92485,70.2343,-23.8239,13.022,835.685,-74.8781,-35.9426,817.951,-51.5835,33.9133,774.466,-91.847,-73.5686,1052.04,-82.8097,-111.936,1274.04,40.507,-6.04704,960.247,250.296,-12.9929,974.315,149.004,19.5622,1193.64,291.818,-123.759,464.568,-19.6494,-131.263,475.363,-39.5177,-84.9247,824.92,-24.9596,-83.2107,616.402,321.64,-100.105,840.08,313.104,-58.5085,715.84
73,0,574.754,4.64882,906.908,640.031,15.3562,848.888,597.866,-61.5089,896.137,213.976,-178.336,1563.35,70.2746,-182.244,1569.93,95.0722,15.6827,1611.25,188.065,2.41766,1591.98,287.895,-126.948,1375.45,137.3,-45.5728,1326.24,-19.9373,-128.919,1381.87,142.374,-163.013,1397.05,434.123,-138.002,1174.84,483.721,-101.372,1104.05,142.778,-202.81,1136.21,109.417,-182.192,1008.55,192.155,-182.839,1004.46,238.797,-220.167,1288.7,252.373,-1.28674,66.0066,283.473,-134.952,114.187,241.098,-187.814,96.5073,-7.50243,-136.988,109.488,40.7471,-177.01,84.4165,42.7751,6.96267,70.2211,-23.6583,12.9948,835.607,-74.5185,-36.2533,817.893,-51.4136,33.9936,774.382,-91.8996,-73.6077,1051.88,-82.9448,-111.972,1273.93,40.5468,-5.99555,960.252,250.452,-12.8418,974.336,148.931,19.5373,1193.61,291.858,-123.759,464.57,-19.6182,-131.219,475.365,-39.4905,-84.8169,824.894,-24.9242,-83.2003,616.41,321.723,-100.081,840.072,313.152,-58.4704,715.833
74,0,576.733,5.07044,908.598,642.454,16.0742,851.008,599.453,-60.5726,897.72,213.626,-178.967,1563.69,69.9721,-181.903,1569.92,95.0103,15.9537,1611.19,188.008,2.53182,1591.93,287.667,-126.973,1375.54,137.176,-45.548,1326.2,-20.1029,-128.766,1381.78,142.172,-162.847,1397.02,434.472,-137.874,1175.42,484.554,-101.094,1105.01,142.731,-202.783,1136.22,109.461,-182.223,1008.53,192.22,-182.83,1004.43,238.687,-220.109,1288.79,252.397,-1.28469,66.0023,283.44,-134.953,114.195,241.104,-187.813,96.5308,-7.4863,-136.981,109.488,40.7851,-176.942,84.3891,42.7799,6.95184,70.2338,-23.5608,13.1143,835.682,-74.6095,-35.9392,817.633,-51.0662,33.8337,774.281,-91.9397,-73.5979,1051.74,-83.086,-111.867,1273.8,40.6225,-5.96819,960.243,250.637,-12.6837,974.383,148.872,19.5085,1193.54,291.875,-123.821,464.579,-19.5811,-131.179,475.331,-39.433,-84.8012,824.908,-24.8766,-83.1492,616.385,321.795,-100.05,840.08,313.204,-58.4452,715.815
75,0,578.897,5.58182,910.501,644.835,16.4934,853.29,601.652,-60.3448,899.531,213.146,-178.237,1563.42,69.6416,-181.596,1569.99,95.0241,16.2084,1611.18,187.965,2.61804,1591.9,287.467,-126.97,1375.65,137.036,-45.5185,1326.16,-20.3032,-128.621,1381.69,141.947,-162.656,1397,434.825,-137.707,1175.96,485.294,-100.722,1105.95,142.71,-202.766,1136.24,109.523,-182.138,1008.48,192.263,-182.846,1004.44,238.575,-220.064,1288.88,252.398,-1.30153,65.9997,283.459,-134.964,114.195,241.095,-187.821,96.5274,-7.47605,-136.974,109.486,40.7834,-177.002,84.4056,42.7971,6.925,70.1896,-23.4245,13.1102,835.605,-74.4191,-36.0302,817.511,-50.832,33.7487,774.19,-91.9626,-73.6146,1051.59,-83.2104,-111.802,1273.69,40.6852,-5.94934,960.219,250.847,-12.4925,974.402,148.785,19.4878,1193.53,291.903,-123.765,464.585,-19.5508,-131.117,475.347,-39.3634,-84.6786,824.85,-24.8477,-83.0977,616.408,321.881,-100.019,840.055,313.27,-58.4413,715.796
76,0,580.936,6.62045,912.461,647.242,17.2143,855.35,603.353,-59.2996,900.998,212.754,-178.32,1563.5,69.2735,-181.224,1570.01,95.0238,16.4836,1611.17,187.958,2.75498,1591.86,287.269,-126.971,1375.76,136.888,-45.5064,1326.12,-20.4811,-128.569,1381.63,141.719,-162.627,1397.08,435.217,-137.542,1176.57,486.074,-100.438,1106.85,142.661,-202.821,1136.31,109.601,-182.168,1008.49,192.357,-182.828,1004.44,238.473,-220.074,1288.99,252.404,-1.2885,66.0028,283.472,-134.963,114.192,241.115,-187.76,96.4723,-7.44187,-136.96,109.51,40.7883,-176.978,84.4374,42.8157,6.93626,70.1543,-23.2856,13.1432,835.582,-74.2395,-36.0906,817.392,-50.5669,33.6397,774.114,-91.9747,-73.5577,1051.46,-83.3548,-111.678,1273.6,40.7443,-5.91345,960.209,250.925,-12.4482,974.447,148.701,19.4435,1193.49,291.965,-123.772,464.569,-19.4995,-131.077,475.354,-39.2999,-84.6768,824.883,-24.7707,-83.0703,616.42,321.955,-99.9952,840.067,313.333,-58.4063,715.804
77,0,582.885,7.14875,914.071,649.5,17.7103,857.444,605.357,-59.3176,902.788,212.403,-178.331,1563.53,68.8351,-181.052,1570.05,95.0411,16.7129,1611.14,187.926,2.8812,1591.82,287.05,-126.921,1375.87,136.76,-45.4791,1326.09,-20.6783,-128.453,1381.56,141.519,-162.588,1397.1,435.653,-137.304,1177.13,486.829,-100.24,1107.86,142.6,-202.82,1136.35,109.661,-182.211,1008.49,192.429,-182.844,1004.43,238.365,-220.033,1289.09,252.397,-1.30598,66.0169,283.48,-134.959,114.203,241.111,-187.84,96.557,-7.44217,-136.942,109.499,40.8031,-176.921,84.3807,42.8693,6.95061,70.1591,-23.186,13.0765,835.545,-74.0555,-36.2192,817.294,-50.3035,33.5727,774.058,-92.0165,-73.6034,1051.34,-83.4863,-111.578,1273.5,40.8262,-5.80882,960.252,250.985,-12.4679,974.48,148.636,19.4566,1193.48,291.992,-123.758,464.581,-19.4239,-131.037,475.365,-38.7697,-85.2621,825.001,-24.7132,-83.019,616.434,322.072,-99.9307,840.059,313.391,-58.395,715.805
78,0,584.713,7.63908,915.66,651.809,18.4624,859.702,607.122,-58.5761,904.423,212.104,-178.36,1563.58,68.487,-180.857,1570.03,95.0627,16.9833,1611.1,187.933,2.94339,1591.74,286.848,-126.858,1375.94,136.592,-45.4515,1326.05,-20.8512,-128.369,1381.5,141.354,-162.483,1397.15,436.066,-137.062,1177.77,487.576,-100.006,1108.82,142.588,-202.888,1136.41,109.704,-182.228,1008.47,192.487,-182.879,1004.47,238.251,-220.006,1289.19,252.408,-1.28088,65.9823,283.488,-134.952,114.202,241.094,-187.81,96.5494,-7.39209,-136.914,109.493,40.8103,-176.931,84.4383,42.9169,6.96671,70.0719,-23.0591,13.0084,835.458,-73.8367,-36.0971,817.006,-50.0709,33.5167,773.964,-92.0295,-73.5716,1051.22,-83.4127,-111.127,1273.35,40.8797,-5.83052,960.214,251.096,-12.4689,974.471,148.566,19.4164,1193.45,292.019,-123.79,464.574,-19.4073,-131.005,475.343,-38.6843,-85.1373,824.937,-24.6537,-82.9933,616.417,322.153,-99.9282,840.051,313.439,-58.3538,715.8
79,0,586.75,8.17297,917.366,653.91,18.958,861.777,608.879,-58.0121,905.826,211.805,-178.336,1563.61,68.1389,-180.655,1569.97,95.0696,17.2108,1611.02,187.914,3.02032,1591.66,286.648,-126.842,1376.04,136.456,-45.3976,1326.01,-21.0289,-128.277,1381.45,141.149,-162.395,1397.17,436.47,-136.835,1178.31,488.294,-99.8491,1109.8,142.561,-202.901,1136.45,109.781,-182.222,1008.44,192.562,-182.87,1004.47,238.18,-219.98,1289.31,252.398,-1.26861,66.003,283.451,-134.943,114.198,241.099,-187.783,96.5236,-7.36616,-136.887,109.489,40.8196,-176.918,84.4051,42.9511,6.97446,70.0607,-22.91,12.999,835.325,-74.2826,-35.5738,816.695,-49.7995,33.3958,773.851,-92.0587,-73.5549,1051.12,-83.7528,-111.354,1273.34,40.9687,-5.8048,960.2,251.159,-12.4086,974.531,148.439,19.4337,1193.4,292.046,-123.755,464.566,-19.3433,-130.963,475.361,-38.5884,-85.1175,824.969,-24.5934,-82.9404,616.443,322.238,-99.9086,840.054,313.515,-58.3606,715.782
80,0,588.437,8.54082,918.889,656.1,19.7139,863.949,610.562,-57.5769,907.437,211.584,-178.246,1563.6,66.3627,-183.959,1570.92,95.0954,17.4639,1610.93,187.942,3.05835,1591.56,286.468,-126.76,1376.11,136.3,-45.4225,1325.96,-21.1855,-128.185,1381.41,140.971,-162.424,1397.22,436.75,-136.633,1178.86,488.95,-99.6763,1110.6,142.545,-202.941,1136.49,109.835,-182.256,1008.43,192.643,-182.903,1004.45,238.068,-219.927,1289.4,252.4,-1.27326,66.0042,283.455,-134.922,114.209,241.088,-187.777,96.5012,-7.34049,-136.788,109.492,40.8736,-176.896,84.3988,43.0046,7.02553,70.0591,-22.7846,12.899,835.225,-74.084,-35.5646,816.576,-49.611,33.2456,773.699,-92.0752,-73.5239,1051.02,-83.8533,-111.297,1273.25,41.0562,-5.70278,960.223,251.149,-12.5467,974.536,148.347,19.4379,1193.36,292.088,-123.731,464.572,-19.2924,-130.918,475.363,-38.5125,-85.0338,824.92,-24.5442,-82.9288,616.441,322.348,-99.9073,840.036,313.589,-58.3365,715.76
81,0,590.143,9.56773,920.848,658.251,20.3989,866.071,611.842,-56.2961,908.649,211.338,-178.294,1563.65,66.1438,-183.56,1570.98,95.1393,17.7252,1610.85,187.939,3.12629,1591.43,286.284,-126.688,1376.18,136.131,-45.3775,1325.99,-21.3662,-128.089,1381.35,140.733,-162.433,1397.27,437.035,-136.529,1179.34,489.667,-99.2058,1111.36,142.484,-203.009,1136.55,109.896,-182.278,1008.41,192.693,-182.906,1004.45,237.947,-219.968,1289.52,252.399,-1.25113,66.0151,283.464,-134.922,114.203,241.096,-187.806,96.5459,-7.24618,-136.723,109.506,40.9331,-176.918,84.4366,43.159,7.08682,69.966,-22.6722,12.7769,835.147,-74.0365,-35.6578,816.508,-49.4009,33.1207,773.556,-92.0982,-73.5452,1050.95,-83.9249,-111.38,1273.22,41.1319,-5.63619,960.223,251.27,-12.5205,974.557,148.254,19.4208,1193.28,292.151,-123.747,464.557,-19.2492,-130.81,475.346,-38.6288,-84.5403,824.792,-24.45,-82.8653,616.429,322.453,-99.8427,840.056,313.642,-58.3279,715.77
82,0,591.964,10.0978,922.438,660.356,21.026,868.122,613.773,-56.3966,910.496,211.117,-178.249,1563.63,65.902,-183.388,1571.09,95.1578,17.9666,1610.75,187.961,3.259,1591.37,286.111,-126.627,1376.22,136.019,-45.3177,1325.93,-21.5269,-128.009,1381.31,140.571,-162.346,1397.28,437.297,-136.314,1179.81,490.309,-98.6967,1112.19,142.454,-202.967,1136.54,110.007,-182.32,1008.41,192.784,-182.958,1004.5,237.865,-219.949,1289.63,252.407,-1.26007,66.0033,283.488,-134.935,114.195,241.098,-187.784,96.5203,-7.00281,-136.581,109.452,41.0485,-176.78,84.4615,43.3341,7.2069,69.8071,-22.5531,12.6386,834.998,-74.0161,-35.7842,816.409,-49.2311,33.027,773.425,-92.1083,-73.5205,1050.86,-84.0527,-111.347,1273.16,41.2145,-5.63039,960.204,251.359,-12.5229,974.557,148.152,19.4854,1193.25,292.198,-123.746,464.557,-19.2014,-130.709,475.354,-38.5386,-84.4095,824.744,-24.3457,-82.8049,616.43,322.576,-99.8281,840.046,313.728,-58.2826,715.76
83,0,593.609,10.6877,923.876,662.312,21.5927,870.176,615.281,-55.9449,912.062,210.921,-178.17,1563.64,65.6623,-183.186,1571.19,95.1894,18.2234,1610.69,187.978,3.39262,1591.27,285.94,-126.596,1376.29,135.896,-45.178,1325.91,-21.7028,-127.976,1381.3,140.368,-162.389,1397.31,437.631,-136.149,1180.36,490.919,-98.429,1113.11,142.438,-202.984,1136.55,110.022,-182.376,1008.41,192.835,-182.946,1004.48,237.778,-219.965,1289.71,252.409,-1.25292,65.9988,283.497,-134.945,114.202,241.106,-187.792,96.5535,-6.6931,-136.273,109.488,41.2753,-176.581,84.344,43.5914,7.42832,69.5829,-22.4974,12.555,834.923,-74.0098,-35.8102,816.315,-49.0638,32.8328,773.254,-92.1394,-73.5161,1050.79,-84.0306,-111.934,1273.31,41.3116,-5.5805,960.209,251.428,-12.4989,974.576,148.022,19.4634,1193.19,292.255,-123.755,464.548,-19.1428,-130.56,475.317,-38.4124,-84.308,824.701,-24.2062,-82.741,616.372,322.669,-99.827,840.049,313.795,-58.2829,715.75
84,0,595.369,11.2377,925.391,664.33,22.332,872.208,616.636,-54.5222,912.952,210.688,-178.117,1563.61,65.3044,-183.212,1571.27,95.1993,18.413,1610.6,188.019,3.43287,1591.17,285.772,-126.59,1376.33,135.737,-45.1305,1325.89,-21.845,-127.952,1381.27,140.185,-162.464,1397.37,437.933,-135.88,1180.9,491.486,-98.2862,1113.97,142.399,-202.982,1136.57,110.067,-182.353,1008.39,192.907,-182.95,1004.49,237.705,-219.943,1289.77,252.419,-1.26187,66.0081,283.498,-134.922,114.22,241.157,-187.77,96.5251,-6.28812,-135.896,109.533,41.5452,-176.414,84.2522,44.0187,7.73951,69.3378,-22.4301,12.459,834.841,-73.9569,-35.8804,816.227,-48.9347,32.6828,773.129,-92.158,-73.4804,1050.7,-84.1221,-111.906,1273.25,41.3999,-5.59986,960.167,251.498,-12.5262,974.584,147.924,19.4537,1193.16,292.311,-123.77,464.551,-19.0704,-130.213,475.249,-38.2294,-84.1752,824.636,-23.9882,-82.616,616.348,322.743,-99.8585,840.074,313.858,-58.2837,715.742
