Trajectories,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,
,,tt Beau Bras:bras1,,,tt Beau Bras:bras2,,,tt Beau Bras:bras3,,,tt Beau Bras:avantbras2,,,tt Beau Bras:avantbras3,,,tt Beau Bras:main2,,,tt Beau Bras:main3,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
119,0,-958.959,-423.918,1455.25,-996.245,-365.334,1183.06,-920.165,-366.43,1291.61,-1100.64,-441.643,950.843,-1050.62,-386.145,1047.29,-1130.98,-430.468,899.494,-1117.98,-489.477,936.43
120,0,-957.708,-430.987,1456.45,-994.638,-370.022,1184.9,-918.09,-373.713,1293.03,-1100.82,-444.958,952.772,-1050.12,-391.747,1048.6,-1131.13,-434.206,902.133,-1118.13,-492.945,938.565
121,0,-956.276,-437.691,1457.27,-993.164,-374.315,1186.75,-916.005,-380.848,1294.08,-1100.67,-449.1,954.737,-1049.23,-394.438,1051.07,-1131.41,-437.735,904.44,-1118.57,-496.458,940.718
122,0,-954.866,-444.91,1458.28,-991.883,-378.506,1188.25,-913.93,-387.738,1295.11,-1100.95,-452.385,956.438,-1048.46,-398.604,1052.73,-1131.73,-441.083,906.56,-1118.69,-500.846,943.207
123,0,-953.648,-451.513,1458.65,-990.59,-383.898,1189.68,-912.025,-394.632,1296.21,-1101.04,-456.662,958.244,-1047.91,-403.236,1054.16,-1132.21,-444.777,908.289,-1119.37,-504.052,944.167
124,0,-952.646,-458.858,1459.25,-989.612,-389.742,1190.12,-910.399,-401.733,1296.66,-1100.84,-460.424,959.45,-1047.34,-407.564,1055.22,-1133.84,-450.41,908.452,-1119.7,-507.572,945.797
125,0,-951.577,-465.644,1459.39,-988.531,-395.184,1191.36,-908.921,-408.575,1297.47,-1100.84,-464.108,960.319,-1046.74,-412.377,1056.26,-1132.44,-451.638,911.208,-1120.61,-510.742,946.509
126,0,-950.841,-473.129,1459.75,-987.505,-400.398,1192.11,-907.648,-415.907,1297.67,-1100.7,-468.242,961.022,-1046.02,-417.239,1056.91,-1132.18,-455.292,912.111,-1120.87,-514.598,947.525
127,0,-950.133,-480.119,1459.66,-986.414,-406.275,1192.78,-906.448,-422.61,1298.19,-1100.79,-472.31,961.496,-1045.44,-422.208,1057.4,-1133.17,-460.594,911.334,-1122.89,-517.227,947.431
128,0,-949.611,-487.804,1459.74,-985.522,-412.625,1192.84,-905.393,-430.257,1297.95,-1099.91,-476.258,961.179,-1044.68,-427.577,1057.73,-1132.57,-463.615,911.683,-1123.18,-520.969,947.28
129,0,-949.264,-495.166,1459.55,-984.663,-419.001,1193.29,-904.468,-437.47,1298.22,-1099.53,-480.239,961.056,-1043.96,-434.785,1056.68,-1131.89,-467.574,911.64,-1123.94,-524.521,947.077
130,0,-949.107,-502.645,1459.15,-983.779,-425.473,1192.83,-903.709,-445.313,1297.77,-1099.84,-485.052,960.96,-1043.15,-439.939,1056.89,-1131.01,-471.032,911.101,-1124.43,-528.237,946.618
131,0,-949.282,-510.52,1458.99,-982.913,-432.929,1192.77,-902.986,-452.664,1297.68,-1099.05,-489.914,960.563,-1042.2,-444.057,1057.18,-1129.94,-474.677,910.283,-1125.16,-531.233,946.207
132,0,-949.39,-518.054,1458.31,-982.27,-439.833,1192.31,-902.764,-460.389,1297.26,-1098.22,-493.855,959.265,-1041.18,-451.321,1055.82,-1128.51,-478.931,909.025,-1124.82,-535.959,945.509
133,0,-949.864,-525.96,1457.69,-981.518,-447.239,1191.74,-902.708,-468.333,1296.95,-1096.67,-498.452,957.961,-1040.32,-455.829,1056.08,-1126.78,-482.319,908.039,-1124.96,-539.706,943.916
134,0,-950.573,-534.495,1457.34,-981.004,-454.642,1191.59,-902.798,-476.253,1296.54,-1096.42,-503.992,957.185,-1039.14,-463.574,1054.54,-1125.17,-486.37,906.523,-1124.81,-544.445,942.131
135,0,-951.392,-542.348,1456.44,-980.461,-462.037,1190.57,-903.024,-484.164,1296,-1095.36,-508.628,955.334,-1038.15,-470.265,1053.12,-1123.06,-491.629,904.259,-1124.86,-549.576,940.371
136,0,-952.471,-550.694,1455.82,-979.991,-470.086,1190.04,-903.296,-491.708,1295.93,-1093.71,-513.275,953.658,-1037.1,-477.055,1052.31,-1121.3,-495.448,903.019,-1123.98,-552.928,938.48
137,0,-953.762,-559.075,1455.06,-979.582,-477.587,1189.22,-904.202,-500.707,1294.84,-1092.79,-518.305,951.863,-1036.19,-483.727,1051.2,-1119.53,-500.25,901.159,-1123.58,-557.661,936.537
138,0,-955.279,-567.421,1454.12,-979.568,-486.094,1188.05,-904.823,-508.841,1294.74,-1091.68,-523.945,950.226,-1035.34,-490.851,1049.8,-1117.67,-504.97,899.313,-1123.13,-562.641,934.178
139,0,-956.804,-576.308,1453.07,-979.579,-494.459,1187.22,-906.113,-517.642,1293.54,-1090.52,-529.843,948.413,-1034.59,-497.684,1048.32,-1115.87,-509.889,897.361,-1122.47,-567.766,931.935
140,0,-958.596,-585.55,1452.2,-979.757,-502.911,1185.97,-906.977,-525.246,1293.32,-1089.21,-535.571,946.16,-1033.86,-505.118,1047.24,-1114.18,-514.938,895.28,-1121.39,-573.383,929.476
141,0,-960.401,-594.462,1450.95,-980.012,-511.816,1184.54,-908.622,-533.266,1292.67,-1087.96,-541.538,943.97,-1033.17,-512.417,1045.66,-1112.31,-520.303,893.356,-1119.65,-579.733,927.303
142,0,-962.436,-603.2,1449.68,-980.635,-519.992,1183.73,-909.941,-541.426,1291.56,-1086.97,-548.113,941.778,-1032.9,-520.112,1043.92,-1109.57,-524.314,892.344,-1118.9,-585.843,924.795
143,0,-964.539,-612.506,1448.55,-981.568,-528.997,1182.02,-911.692,-550.673,1290.77,-1085.92,-554.662,939.382,-1032.65,-527.493,1042.46,-1109.23,-532.372,889.035,-1117.87,-592.212,921.88
144,0,-966.571,-621.704,1447.36,-982.511,-538.013,1180.75,-913.593,-559.213,1289.72,-1085.07,-561.542,937.123,-1032.42,-535.323,1041,-1106.55,-536.412,887.956,-1116.85,-598.768,918.99
145,0,-968.699,-630.702,1445.77,-983.906,-547.542,1179.27,-915.5,-566.854,1288.67,-1084.18,-568.458,934.462,-1032.5,-543.544,1039.12,-1105.53,-543.441,885.419,-1115.61,-605.796,915.982
146,0,-970.943,-639.824,1444.28,-985.229,-556.779,1177.33,-917.465,-575.671,1287.64,-1083.38,-576.122,932.132,-1032.96,-551.483,1037.19,-1104.64,-550.377,882.954,-1114.5,-613.125,912.895
147,0,-973.132,-649.393,1442.76,-986.701,-566.417,1175.59,-919.835,-585.251,1286.08,-1083.13,-583.747,929.614,-1033.36,-559.79,1035.55,-1103.95,-557.718,880.373,-1113.67,-620.791,909.771
148,0,-975.54,-658.501,1441.18,-987.976,-575.381,1174.05,-921.907,-593.241,1284.9,-1083.09,-591.192,927.076,-1033.92,-567.822,1033.81,-1103.59,-565.477,877.859,-1113.32,-628.459,906.576
149,0,-977.936,-667.767,1439.37,-989.635,-584.772,1171.92,-924.254,-601.713,1283.5,-1083.18,-599.232,924.387,-1034.44,-575.98,1031.91,-1103.32,-573.673,875.578,-1112.69,-636.966,903.876
150,0,-980.407,-676.999,1437.47,-991.168,-593.291,1170.22,-926.65,-610.986,1281.96,-1082.97,-607.595,921.717,-1035.39,-584.636,1029.57,-1103.4,-581.779,873.062,-1112.27,-645.31,900.51
151,0,-982.928,-686.089,1435.52,-992.929,-602.586,1168.16,-929.001,-620.472,1279.85,-1083.31,-615.833,918.976,-1036.44,-593.839,1027.58,-1103.68,-590.204,870.446,-1112.46,-653.723,897.444
152,0,-985.322,-695.194,1433.45,-994.571,-611.164,1166.34,-931.077,-628.381,1278.09,-1083.96,-625.2,916.768,-1037.37,-602.557,1025.41,-1104.22,-599.025,867.775,-1112.29,-663.156,894.812
153,0,-987.855,-704.583,1431.31,-996.65,-621.089,1163.86,-933.419,-637.479,1276.18,-1084.74,-634.268,914.225,-1038.88,-611.81,1023.13,-1104.86,-608.15,865.107,-1112.78,-672.189,891.739
154,0,-990.372,-713.988,1429.23,-998.684,-631.128,1161.26,-935.782,-647.497,1274.12,-1085.84,-643.394,911.469,-1040.2,-621.47,1020.42,-1105.83,-617.825,862.771,-1113.4,-681.659,888.833
155,0,-992.98,-723.172,1427.15,-1000.57,-640.357,1159.37,-937.874,-656.92,1271.92,-1086.83,-652.869,908.944,-1041.97,-631.204,1018.29,-1106.86,-627.318,860.097,-1114.35,-691.483,886.473
156,0,-995.646,-732.766,1425.16,-1002.67,-649.59,1157.38,-940.223,-668.508,1269.22,-1088.47,-662.611,906.457,-1043.55,-640.846,1016.07,-1108.06,-637.18,857.569,-1115.17,-701.56,884.026
157,0,-998.376,-742.549,1423.2,-1004.81,-658.113,1155.46,-942.504,-675.377,1268.16,-1089.53,-673.281,904.592,-1045.51,-650.59,1013.88,-1109.43,-647.713,855.353,-1116.67,-711.537,881.503
158,0,-1001.13,-751.753,1421.23,-1007.09,-668.525,1153.26,-944.85,-685.241,1266.38,-1091.69,-683.047,901.936,-1047.27,-659.797,1012.13,-1111.13,-658.031,852.969,-1118.08,-722.322,879.564
159,0,-1004.01,-761.162,1419.41,-1009.43,-678.645,1151.6,-947.352,-695.425,1264.54,-1093.31,-694.148,900.46,-1049.46,-669.813,1010.37,-1112.83,-668.867,850.882,-1120.05,-732.478,877.146
160,0,-1006.8,-770.782,1417.88,-1011.89,-689.161,1149.62,-949.826,-704.55,1263.07,-1095.26,-704.875,898.542,-1052.05,-680.395,1008.08,-1114.77,-679.918,848.881,-1121.71,-743.839,875.676
161,0,-1009.59,-780.501,1416.62,-1014.48,-698.497,1148.09,-952.604,-713.977,1261.65,-1097.46,-716.063,897.041,-1054.2,-691.5,1006.55,-1117.04,-691.095,846.907,-1124.03,-754.878,873.87
162,0,-1012.17,-789.478,1415.24,-1016.97,-708.148,1146.8,-955.365,-724.03,1260.3,-1100.3,-726.988,895.233,-1056.83,-702.361,1004.62,-1119.44,-702.713,845.308,-1125.93,-766.791,872.838
163,0,-1014.72,-798.522,1414.06,-1019.65,-718.265,1145.26,-958.11,-733.576,1258.92,-1102.79,-738.341,893.792,-1059.67,-715.514,1002.37,-1121.93,-714.95,843.978,-1128.45,-778.538,871.685
164,0,-1017.15,-807.616,1413.15,-1022.38,-729.163,1143.57,-960.703,-742.257,1257.84,-1105.47,-749.95,892.714,-1062.42,-726.072,1001.05,-1124.93,-726.615,842.535,-1131.18,-790.244,870.574
165,0,-1019.68,-816.037,1412.65,-1025.13,-738.633,1142.97,-963.106,-752.053,1256.77,-1108.31,-761.981,891.947,-1064.89,-735.007,1001.11,-1128.03,-738.937,841.602,-1133.78,-802.768,870.415
166,0,-1021.52,-824.257,1412.38,-1027.77,-748.692,1142.29,-965.382,-762.644,1255.65,-1111.1,-774.022,891.43,-1067.77,-746.382,1000.32,-1130.88,-751.362,840.931,-1136.68,-814.973,870.133
167,0,-1023.63,-832.406,1412.64,-1030.4,-759.241,1141.9,-967.577,-773.934,1254.51,-1114.04,-786.227,891.232,-1070.81,-758.142,999.986,-1133.95,-764.113,840.637,-1139.6,-827.469,870.302
168,0,-1025.26,-840.17,1413.07,-1033.01,-769.513,1141.69,-969.413,-780.428,1255.29,-1117.24,-798.711,891.627,-1073.75,-769.269,999.982,-1137.18,-777.082,840.806,-1142.67,-840.107,870.95
169,0,-1026.99,-847.891,1413.72,-1035.46,-779.084,1142.1,-971.183,-790.401,1255.08,-1120.67,-811.298,892.42,-1076.66,-780.806,1000.17,-1140.47,-790.094,841.14,-1145.8,-852.996,872.052
170,0,-1028.43,-855.365,1414.65,-1037.67,-789.061,1142.56,-972.838,-800.031,1255.32,-1124.09,-823.935,893.505,-1079.41,-791.608,1000.82,-1143.78,-803.389,841.946,-1149.14,-866.028,873.51
171,0,-1029.81,-862.51,1415.57,-1039.77,-799.285,1142.46,-974.461,-808.096,1256.04,-1127.18,-836.789,894.683,-1082.08,-803.186,1001.35,-1147.29,-816.855,843.085,-1152.73,-878.862,875.296
172,0,-1030.98,-869.622,1416.65,-1041.74,-808.439,1143.23,-976.09,-816.914,1256.31,-1130.64,-849.734,896.183,-1084.74,-815.092,1002.11,-1150.94,-831.046,844.811,-1155.72,-892.555,877.921
173,0,-1031.9,-876.601,1417.51,-1043.38,-816.998,1144.14,-977.362,-826.072,1256.64,-1133.76,-862.906,897.91,-1087.51,-828.8,1001.71,-1154.53,-844.39,846.269,-1159.5,-905.697,880.303
174,0,-1032.97,-883.338,1418.32,-1045.05,-826.489,1144.09,-978.581,-833.215,1257.39,-1137.07,-876.39,900.314,-1089.67,-837.085,1003.38,-1158.28,-858.382,848.099,-1163.33,-918.747,883.095
175,0,-1033.51,-890.088,1419.16,-1046.19,-834.734,1144.71,-979.596,-841.082,1257.66,-1140.35,-889.525,902.451,-1092.15,-847.958,1004.31,-1162.23,-872.134,850.238,-1166.66,-932.59,886.67
176,0,-1034.25,-896.875,1420.01,-1047.56,-842.484,1145.14,-980.518,-849.801,1257.71,-1144.09,-902.36,904.511,-1094.5,-859.475,1005.03,-1166.09,-886.231,852.265,-1170.87,-945.415,890.052
177,0,-1035.11,-903.052,1420.57,-1048.44,-850.655,1145.42,-981.445,-859.492,1257.3,-1147.37,-915.734,907.492,-1096.8,-870.573,1005.67,-1170.15,-900.68,854.515,-1174.03,-959.526,894.287
178,0,-1035.63,-909.309,1421.2,-1049.37,-858.555,1145.65,-981.718,-863.79,1258.81,-1150.57,-928.847,910.516,-1099.22,-883.695,1005.29,-1175.57,-918.184,855.862,-1178.95,-971.685,898.107
179,0,-1035.88,-915.112,1422.05,-1050.04,-864.758,1146.6,-982.092,-871.327,1258.84,-1153.87,-941.445,913.521,-1101.01,-890.579,1008,-1179.38,-932.142,858.862,-1182.35,-984.924,902.963
180,0,-1036.07,-920.563,1422.95,-1050.76,-872.528,1146.63,-982.245,-876.942,1259.77,-1156.66,-954.607,917.526,-1102.96,-901.118,1009.19,-1182.64,-945.807,862.797,-1185.24,-998.792,908.165
181,0,-1035.92,-925.662,1423.98,-1050.98,-880.817,1147.1,-982.204,-883.234,1260.18,-1159.7,-966.796,921.509,-1104.8,-911.415,1010.85,-1186.18,-960.904,866.326,-1188.61,-1010.66,913.293
182,0,-1035.57,-930.407,1425.17,-1050.94,-884.592,1148.49,-981.868,-889.373,1261.18,-1162.57,-978.877,925.789,-1106.19,-919.877,1013.17,-1189.61,-973.898,870.964,-1190.34,-1023.36,919.947
183,0,-1034.93,-934.38,1426.25,-1050.98,-891.145,1149.31,-981.269,-893.943,1262.07,-1165.03,-990.154,930.184,-1107.89,-929.752,1014.91,-1192.86,-986.368,876.547,-1192.86,-1035.43,925.92
184,0,-1034.13,-938.478,1427.7,-1050.58,-895.429,1150.57,-980.685,-899.722,1262.81,-1167.75,-1001.68,935.656,-1109,-938.516,1017.16,-1196.41,-999.116,881.951,-1194.38,-1047.36,932.941
185,0,-1033.08,-942.093,1428.83,-1050.27,-901.504,1151.14,-979.601,-904.069,1263.93,-1169.69,-1012.82,941.344,-1110.23,-946.046,1020.07,-1199.8,-1012.49,887.413,-1195.29,-1059.2,940.219
186,0,-1032,-945.682,1430.1,-1049.49,-904.875,1152.54,-978.467,-908.168,1265,-1171.66,-1022.91,946.831,-1110.98,-954.294,1022.72,-1203.2,-1027.52,892.343,-1197.11,-1069.64,946.946
187,0,-1030.37,-949.053,1431.32,-1048.77,-909.994,1153.27,-977.038,-913.016,1265.94,-1173.41,-1032.69,952.72,-1111.82,-960.66,1026.13,-1205.65,-1036.06,899.882,-1198.24,-1079.99,954.268
188,0,-1028.68,-951.933,1432.38,-1047.67,-912.573,1154.6,-975.437,-915.948,1267.17,-1175.09,-1041.96,958.779,-1112.49,-968.528,1028.68,-1208.42,-1047.39,906.601,-1198.79,-1090.09,961.833
189,0,-1026.7,-954.699,1433.23,-1046.52,-917.145,1155.33,-974.113,-921.276,1267.46,-1176.41,-1050.58,964.731,-1112.9,-974.323,1031.72,-1211.14,-1058.44,913.128,-1199.3,-1099.21,969.164
190,0,-1024.63,-957.882,1434.52,-1045.33,-919.725,1156.42,-971.8,-925.268,1268.45,-1177.56,-1058.65,970.856,-1113.3,-980.969,1034.41,-1213.18,-1068.04,920.171,-1199.49,-1107.77,976.544
191,0,-1022.64,-961.981,1434.55,-1044.3,-924.091,1156.9,-969.468,-927.701,1269.51,-1178.48,-1066.46,977.375,-1113.31,-985.311,1038.01,-1214.59,-1076.1,926.997,-1198.85,-1115.87,984.19
192,0,-1019.69,-963.542,1436.03,-1039.56,-921.091,1160.53,-967.13,-932.027,1270.06,-1179.03,-1072.75,982.997,-1113.17,-991.271,1040.74,-1216.35,-1084.2,933.696,-1198.47,-1123.07,991.384
193,0,-1017.12,-967.394,1436.08,-1040.14,-928.249,1159.26,-964.091,-935.601,1270.56,-1179.76,-1079.16,989.5,-1112.73,-994.956,1043.74,-1217.81,-1092.65,940.203,-1197.98,-1129.55,998.194
194,0,-1014.18,-969.282,1437.35,-1038.14,-930.204,1160,-961.309,-940.169,1271.15,-1180.08,-1084.57,995.316,-1112.06,-999.581,1046.38,-1218.41,-1098.13,946.451,-1197.48,-1135.15,1004.56
195,0,-1011.43,-974.445,1437.05,-1033.1,-928.913,1162.18,-957.92,-943.781,1271.34,-1180,-1089.03,1000.81,-1111.21,-1002.89,1049.03,-1219.15,-1104.68,952.664,-1196.68,-1140.3,1010.89
196,0,-1008.5,-977.894,1437.27,-1030,-930,1162.2,-954.325,-947.091,1272.13,-1179.1,-1092.91,1005.66,-1110.01,-1009.07,1050.78,-1219.84,-1110.63,957.785,-1195.9,-1144.58,1016.63
197,0,-1005.53,-980.719,1437.85,-1028.71,-935.814,1162.26,-949.982,-948.305,1272.9,-1178.63,-1096.32,1010.77,-1108.39,-1004.59,1056.26,-1219.31,-1113.85,963.142,-1195.21,-1148.13,1021.77
198,0,-1001.74,-983.581,1438.28,-1025.45,-938.029,1162.67,-946.089,-952.53,1273.46,-1178.01,-1099.09,1015.65,-1105.84,-1011.33,1056.53,-1218.5,-1117.23,967.795,-1194.54,-1151.04,1026.59
199,0,-998.457,-987.481,1438.85,-1021.4,-939.884,1163.45,-941.972,-956.505,1273.97,-1177.34,-1101.31,1020.44,-1103.82,-1013.6,1058.57,-1217.75,-1120.26,971.686,-1193.85,-1153.25,1030.61
200,0,-995.057,-991.748,1438.55,-1017.16,-941.034,1164.2,-937.747,-960.857,1274.39,-1176.28,-1102.53,1023.92,-1100.79,-1013.95,1061.47,-1216.61,-1121.56,975.235,-1192.86,-1155.17,1034.39
201,0,-990.343,-994.114,1439.49,-1012.15,-942.398,1165.26,-932.966,-965.181,1274.79,-1174.66,-1102.94,1026.1,-1097.8,-1015.76,1063.06,-1215.36,-1123.65,978.056,-1191.59,-1156.64,1037.7
202,0,-985.899,-997.446,1439.51,-1007.27,-944.709,1165.56,-928.341,-969.438,1275.31,-1173.22,-1103.46,1029.28,-1094.23,-1014.97,1065.02,-1213.84,-1124.98,979.248,-1190.84,-1156.33,1039.2
203,0,-981.49,-1001.34,1439.71,-1001.73,-946.266,1166.53,-923.232,-973.892,1275.76,-1170.97,-1102.81,1030.46,-1090.73,-1019.17,1065.35,-1211.29,-1124.43,980.544,-1189.73,-1155.83,1040.5
204,0,-976.413,-1004.19,1440.23,-996.165,-948.215,1166.97,-918.083,-978.176,1276.07,-1168.73,-1101.58,1031.28,-1086.54,-1018.01,1066.53,-1208.58,-1123.13,981.386,-1188.61,-1154.73,1041.08
205,0,-971.617,-1008.57,1440.29,-989.912,-950.193,1167.72,-912.769,-982.885,1276.5,-1166.37,-1100.71,1032.74,-1081.84,-1016.99,1067.53,-1205.29,-1120.31,981.475,-1187,-1153.33,1041.1
206,0,-965.961,-1011.35,1440.48,-983.108,-951.351,1168.72,-906.677,-988.045,1276.93,-1163.11,-1097.8,1031.39,-1076.56,-1017.51,1067.84,-1202.21,-1118.52,980.335,-1185.26,-1150.87,1040.36
207,0,-960.381,-1016.76,1440.94,-976.773,-955.989,1168.56,-900.851,-992.862,1277.17,-1159.52,-1095.45,1030.85,-1071.28,-1017.38,1067.78,-1198.53,-1115.93,978.63,-1183.39,-1148.09,1039.19
208,0,-954.909,-1021.03,1440.84,-969.197,-958.124,1169.67,-894.494,-998.255,1277.59,-1155.66,-1092.55,1029.71,-1064.71,-1015.61,1068.22,-1194.71,-1112.48,976.573,-1181.16,-1144.41,1037.24
209,0,-948.981,-1026.15,1441.36,-961.464,-960.417,1170.49,-888.028,-1003.63,1278.14,-1151.47,-1089.02,1028.09,-1058.06,-1015.12,1067.95,-1189.65,-1106.22,974.65,-1178.58,-1140.24,1034.72
210,0,-942.347,-1030.93,1441.73,-953.562,-964.873,1170.67,-881.305,-1009.61,1278.59,-1146.68,-1085.14,1025.99,-1051.43,-1015.34,1067.12,-1184.68,-1100.64,971.959,-1175.77,-1135.21,1031.69
211,0,-934.585,-1031.32,1443.32,-945.548,-973.229,1169.84,-874.042,-1015.55,1279.05,-1141.4,-1080.39,1023.4,-1043.74,-1014.45,1066.31,-1178.58,-1094.21,968.516,-1172.41,-1129.49,1028.21
212,0,-927.573,-1035.66,1444.27,-936.339,-972.832,1171.86,-865.871,-1022.81,1279.89,-1135.69,-1075.05,1020.28,-1036.03,-1014.32,1065.24,-1172.81,-1088.05,964.749,-1168.71,-1123.11,1024.27
213,0,-921.145,-1042.46,1444.18,-927.212,-977.987,1172.4,-859.199,-1029.63,1279.95,-1129.22,-1069.91,1017.39,-1027.5,-1013.85,1064.25,-1165.51,-1079.45,961.407,-1164.43,-1116.34,1020.2
214,0,-914.969,-1050.63,1443.48,-918.456,-984.459,1172.49,-852.001,-1037,1280.44,-1122.18,-1063.56,1013.63,-1018.32,-1013.68,1062.97,-1158.01,-1071.2,957.456,-1159.62,-1108.62,1015.46
215,0,-907.481,-1054.35,1444.37,-909.036,-990.021,1173,-844.803,-1044.69,1280.53,-1114.16,-1057.56,1010.23,-1008.98,-1012.55,1061.9,-1149.64,-1063.34,952.951,-1153.95,-1100.5,1010.73
216,0,-900.349,-1060.8,1444.78,-899.066,-995.276,1173.5,-837.495,-1052.86,1280.7,-1105.54,-1050.76,1006.28,-999.056,-1012.63,1060.39,-1139.8,-1053.46,948.966,-1147.68,-1091.4,1005.38
217,0,-893.021,-1067.25,1444.71,-889.347,-1001.49,1173.87,-830.145,-1061.48,1280.85,-1096.13,-1043.69,1002.27,-988.687,-1012.12,1059.05,-1128.96,-1043.62,944.517,-1140.27,-1082.29,1000.33
218,0,-886.158,-1073.76,1444.8,-879.93,-1008.48,1173.9,-823.048,-1070.25,1280.71,-1085.71,-1036.97,998.508,-978.134,-1013.83,1057.13,-1117.61,-1035.26,939.603,-1132.22,-1072.59,995.242
219,0,-879.066,-1081.07,1445.09,-870.399,-1015.9,1173.99,-815.97,-1079.47,1280.73,-1073.99,-1030.51,995.26,-966.219,-1012.91,1056.14,-1104.76,-1025.61,935.444,-1123.04,-1062.98,990.407
220,0,-871.758,-1088.05,1445.13,-859.654,-1020.6,1174.71,-808.937,-1089.01,1280.6,-1062.17,-1022.92,991.032,-954.444,-1012.9,1054.76,-1090.82,-1016.46,931.343,-1112.96,-1052.02,985.026
221,0,-864.263,-1094.66,1445,-849.829,-1028.95,1174.58,-802.297,-1098.62,1280.24,-1049.08,-1015.97,987.659,-942.06,-1014.3,1053.55,-1075.18,-1006.21,928.265,-1101.71,-1041.5,980.446
222,0,-857.461,-1102.69,1445.17,-840.069,-1037.65,1174.66,-795.527,-1108.8,1280.09,-1035.18,-1009.12,984.813,-929.306,-1015.75,1052.54,-1058.9,-998.448,924.859,-1089.64,-1030.83,976.138
223,0,-850.642,-1110.72,1444.94,-830.223,-1046.09,1174.69,-789.089,-1119.02,1279.68,-1020.82,-1003.11,982.71,-916.063,-1017.69,1052.01,-1041.05,-990.394,922.571,-1076.46,-1020.95,972.634
224,0,-844.003,-1119,1444.63,-820.187,-1054.94,1174.89,-782.848,-1129.5,1279.37,-1005.84,-997.617,981.403,-902.837,-1021.06,1051.3,-1021.33,-980.222,922.174,-1062.03,-1010.2,969.484
225,0,-837.676,-1127.27,1444.39,-809.11,-1063.34,1175.13,-776.75,-1140.24,1279.09,-990.214,-992.567,980.698,-888.056,-1020.95,1052.27,-1002.09,-974.02,921.472,-1046.36,-1000.43,967.247
226,0,-831.073,-1135.98,1444.12,-798.426,-1072.46,1175.21,-770.491,-1151.54,1279.02,-974.465,-993.429,978.663,-875.105,-1024.42,1052.68,-982.201,-968.865,921.924,-1030.06,-991.337,965.933
227,0,-824.925,-1144.41,1443.47,-787.799,-1081.88,1175.45,-764.937,-1162.51,1278.42,-958.198,-991.248,978.854,-861.323,-1028.33,1053.32,-962.038,-965.026,923.01,-1012.61,-983.052,965.617
228,0,-818.259,-1153.51,1443.44,-777.167,-1091.29,1175.84,-758.929,-1174.06,1278.22,-939.087,-984.611,981.346,-847.548,-1032.49,1054.24,-942.144,-961.891,924.882,-994.666,-976.178,966.525
229,0,-811.82,-1162.5,1443.16,-766.495,-1101.09,1176.47,-753.064,-1185.71,1277.94,-922.328,-984.65,982.964,-833.978,-1037.05,1055.21,-921.811,-960.33,927.28,-976.15,-970.154,968.215
230,0,-805.673,-1171.5,1442.86,-756.052,-1110.78,1177.12,-747.494,-1197.37,1277.88,-905.034,-984.371,984.986,-819.612,-1041.91,1056.63,-901.905,-959.781,929.908,-957.262,-965.087,970.586
231,0,-798.822,-1181.21,1442.81,-745.682,-1120.61,1177.84,-742.158,-1208.91,1277.56,-887.585,-984.805,987.246,-805.686,-1048.23,1057.97,-882.448,-959.812,932.837,-937.866,-961.228,973.667
232,0,-792.135,-1191.02,1443.01,-735.321,-1130.63,1178.82,-737.18,-1220.2,1277.17,-869.842,-986.277,990.209,-792.873,-1056.87,1058.97,-862.193,-961.102,935.919,-918.032,-958.667,977.342
233,0,-785.927,-1200.75,1442.93,-725.141,-1140.89,1179.94,-731.618,-1232.04,1277.47,-851.958,-987.382,993.159,-776.55,-1059.27,1062.58,-844.161,-962.609,938.941,-898.104,-957.342,981.273
234,0,-779.782,-1210.76,1443.19,-715.155,-1151.3,1181.24,-726.458,-1243.32,1277.54,-834.593,-990.209,996.092,-763.488,-1066.14,1064.63,-826.12,-965.108,941.817,-878.696,-956.354,985.625
235,0,-773.611,-1220.96,1443.61,-705.309,-1162.01,1182.59,-721.44,-1254.49,1277.93,-816.674,-993.779,999.266,-749.921,-1073.46,1067,-807.937,-968.366,945.193,-859.249,-957.851,989.89
236,0,-768.164,-1230.77,1443.7,-695.957,-1172.45,1183.89,-716.268,-1265.52,1278.32,-798.942,-997.946,1002.22,-736.296,-1081.23,1069.35,-790.419,-972.073,948.182,-839.973,-959.543,994.626
237,0,-763.007,-1240.7,1444,-686.436,-1183.32,1185.58,-710.664,-1276.94,1279.35,-781.885,-1003.18,1005.25,-722.984,-1089.77,1071.56,-773.275,-976.637,951.359,-820.47,-962.73,999.586
238,0,-758.085,-1250.55,1444.4,-677.391,-1194.06,1187.1,-706.244,-1287,1279.61,-764.682,-1008.93,1008.07,-709.596,-1098.39,1073.86,-756.143,-981.83,954.689,-800.695,-966.183,1004.87
239,0,-753.607,-1260.22,1444.76,-668.589,-1205.04,1188.85,-701.694,-1297.23,1280.21,-748.366,-1015.89,1011,-697.248,-1107.27,1076,-739.362,-987.493,958.031,-782.19,-971.991,1009.51
