Trajectories,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,
,,tt Beau Bras:bras1,,,tt Beau Bras:bras2,,,tt Beau Bras:bras3,,,tt Beau Bras:avantbras2,,,tt Beau Bras:avantbras3,,,tt Beau Bras:main2,,,tt Beau Bras:main3,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
28,0,-970.66,409.924,1410.23,-1028.42,472.147,1146.25,-954.846,485.368,1251.62,-1111.33,433.539,893.115,-1078.19,472.769,1008.47,-1142.91,447.969,841.865,-1107.37,388.316,858.894
29,0,-972.477,399.255,1408.52,-1028.33,461.102,1144.18,-955.231,474.098,1249.79,-1111.69,428.618,890.723,-1077.65,464.582,1006.9,-1142.47,443.9,839.567,-1107.86,383.176,855.539
30,0,-974.553,388.734,1407.39,-1027.79,451.171,1143.15,-955.658,462.714,1248.12,-1111.85,422.722,888.624,-1077.26,455.983,1005.58,-1141.65,439.77,837.983,-1108.73,379.436,851.854
31,0,-976.459,378.215,1406.59,-1027.64,440.368,1141.83,-956.09,451.24,1246.77,-1111.7,416.412,887.229,-1076.74,447.213,1004.7,-1140.99,434.685,836.729,-1110.65,371.676,850.807
32,0,-978.349,368.445,1406.48,-1027.42,429.8,1141.09,-956.41,439.885,1245.99,-1109.84,406.096,887.737,-1076.09,438.084,1004.35,-1140.45,429.097,836.288,-1112.33,364.547,849.768
33,0,-979.989,357.9,1406.45,-1027.32,418.924,1140.52,-956.644,428.526,1245.69,-1110.71,401.024,886.563,-1075.5,428.631,1004.39,-1139.52,422.767,836.417,-1113.57,356.869,849.396
34,0,-981.48,347.857,1406.91,-1027.29,407.946,1140.15,-956.729,417.418,1246.08,-1110.99,392.128,887.239,-1074.91,418.907,1004.63,-1138.67,415.671,836.885,-1115.1,348.532,849.933
35,0,-982.977,337.757,1407.8,-1026.94,398.192,1141.02,-956.589,406.551,1246.82,-1110.89,382.994,888.202,-1074.32,409.208,1005.33,-1138.01,407.379,837.488,-1116.72,339.631,850.865
36,0,-984.236,327.848,1408.77,-1026.75,388.299,1141.81,-956.364,396.07,1248.28,-1111.31,372.983,889.41,-1074.4,398.59,1005.52,-1136.95,398.997,838.973,-1119.55,331.26,851.729
37,0,-985.414,318.745,1410.33,-1026.53,378.688,1142.77,-956.285,385.472,1249.57,-1111.91,362.086,890.621,-1073.55,389.286,1006.82,-1136.45,389.149,840.111,-1121.93,321.238,853.884
38,0,-986.503,309.182,1411.6,-1026.35,369.32,1143.95,-956.123,375.418,1250.94,-1112.22,352.379,891.994,-1073.29,379.054,1007.56,-1135.94,378.358,841.05,-1125.53,312.616,855.036
39,0,-987.425,299.181,1412.69,-1026.31,359.855,1144.86,-956.086,365.237,1252.25,-1113.11,341.31,893.484,-1073.31,368.671,1008.31,-1136,366.793,842.048,-1127.86,300.946,857.682
40,0,-988.436,290.526,1414.25,-1026.4,350.525,1145.8,-956.245,355.172,1253.39,-1114.23,329.782,894.957,-1073.75,357.706,1008.92,-1136.62,354.54,842.825,-1130.34,288.943,860.091
41,0,-989.374,280.549,1415.07,-1026.9,341.049,1146.58,-956.505,345.362,1254.4,-1115.82,317.538,896.188,-1074.46,346.529,1009.58,-1137.54,341.398,843.613,-1132.93,276.15,862.495
42,0,-990.311,271.512,1416.05,-1027.64,331.017,1147.19,-956.976,335.551,1255.1,-1117.78,304.058,897.584,-1075.64,334.908,1010.15,-1139,327.711,844.391,-1135.61,263.053,864.941
43,0,-991.304,262.491,1417.16,-1028.75,321.157,1148.09,-957.684,325.732,1255.73,-1119.75,290.607,898.823,-1077.22,323.005,1010.91,-1141.25,313.037,845.263,-1137.94,248.844,867.159
44,0,-992.188,253.389,1418.37,-1030.29,310.802,1148.94,-958.652,316.015,1256.49,-1121.91,276.549,900.453,-1079.07,310.75,1011.82,-1143.71,297.811,846.417,-1139.72,233.49,869.748
45,0,-993.119,245.195,1420,-1032.21,300.209,1149.86,-959.851,306.119,1257.07,-1124.39,261.781,902.115,-1081.3,298.176,1012.72,-1147.34,281.296,847.282,-1143.2,219.557,872.641
46,0,-993.942,236.224,1421.42,-1034.27,289.644,1151.03,-961.313,296.467,1257.91,-1126.88,246.884,904.155,-1083.99,284.568,1013.44,-1149.98,265.83,849.873,-1144.82,202.722,875.018
47,0,-994.775,227.595,1423.04,-1036.61,278.925,1152.43,-962.978,287.01,1258.97,-1129.86,231.238,906.52,-1086.51,272.08,1015.4,-1153.74,249.013,852.064,-1146.65,186.668,878.386
48,0,-995.553,218.698,1424.81,-1039.16,268.048,1153.83,-964.948,277.266,1260.22,-1132.56,215.515,908.789,-1089.49,258.597,1016.86,-1157.39,232.084,854.935,-1148.04,169.867,881.133
49,0,-996.302,209.958,1426.61,-1041.75,257.32,1155.48,-967.13,267.822,1261.57,-1135.32,198.851,911.686,-1092.67,244.833,1018.29,-1161.35,214.487,857.705,-1149.72,152.225,885.539
50,0,-997.093,201.013,1428.55,-1044.53,246.642,1157.29,-969.44,258.538,1263.2,-1137.48,182.146,915.312,-1095.6,231.925,1020.82,-1165.2,197.118,861.165,-1149.69,133.738,890.152
51,0,-997.872,192.359,1430.63,-1047.37,236.007,1159.16,-971.752,249.37,1264.94,-1140.34,166.08,918.757,-1099.2,217.807,1022.55,-1169.13,179.092,864.775,-1151.2,116.357,894.723
52,0,-998.646,183.644,1432.79,-1050.21,225.716,1161.26,-974.158,240.095,1266.74,-1141.96,144.817,924.816,-1102.07,205.293,1025.51,-1173.04,160.835,868.456,-1152.69,99.1513,899.416
53,0,-999.438,174.211,1434.5,-1053.29,215.476,1163.36,-976.552,231.028,1268.69,-1146.25,133.549,926.552,-1105.38,191.871,1028.02,-1176.56,142.654,872.542,-1154.23,82.0651,904.491
54,0,-1000.35,165.548,1436.67,-1056.34,205.534,1165.61,-978.847,222.079,1270.57,-1148.78,116.565,930.655,-1108.81,178.576,1030.63,-1180.2,124.333,876.799,-1155.75,65.0539,909.809
55,0,-1001.19,156.652,1438.68,-1059.62,195.582,1167.89,-981.115,212.931,1272.52,-1151.56,100.503,935.179,-1112.11,165.251,1033.43,-1183.61,106.35,881.564,-1157.24,48.0689,915.519
56,0,-1001.99,147.622,1440.66,-1062.46,187.05,1171.03,-983.385,204.08,1274.47,-1154.08,84.5507,939.677,-1115.53,152.07,1036.26,-1186.52,88.5402,886.492,-1158.82,31.3856,921.32
57,0,-1002.86,138.631,1442.53,-1065.78,177.654,1173.42,-985.59,195.173,1276.44,-1157.6,69.0746,944.042,-1118.89,138.894,1039.1,-1189.29,70.1983,890.862,-1161.42,16.715,926.237
58,0,-1003.75,129.444,1444.3,-1069.58,166.508,1174.79,-987.812,186.205,1278.21,-1159.67,53.2571,948.555,-1122.19,125.874,1042.14,-1192.17,52.2457,895.817,-1162.64,-0.15733,932.502
59,0,-1004.52,120.212,1446.06,-1072.43,158.221,1177.96,-990.038,177.267,1280.03,-1162.18,37.3217,953.749,-1125.43,112.634,1045.15,-1194.51,34.7145,901.03,-1163.82,-16.5154,938.639
60,0,-1005.26,111.097,1447.65,-1075.6,148.724,1180.22,-992.226,168.296,1281.69,-1164.63,22.0963,958.602,-1128.42,99.6624,1048.26,-1197.03,17.3007,906.214,-1164.95,-32.6496,944.769
61,0,-1006.13,102.181,1449.12,-1078.81,138.777,1182.26,-994.309,159.481,1283.39,-1165.6,5.71637,963.344,-1131.5,86.8169,1051.25,-1199.31,-0.0954044,911.305,-1165.73,-48.5256,951.087
62,0,-1006.81,93.3299,1450.47,-1081.81,129.213,1184.17,-996.365,150.446,1284.77,-1168.09,-8.98459,968.291,-1134.26,74.3754,1054.32,-1201.29,-17.1965,916.669,-1166.6,-63.9433,957.2
63,0,-1007.47,84.3133,1451.51,-1084.61,119.874,1186.13,-998.275,141.558,1286.07,-1169.33,-24.5101,973.368,-1136.95,61.9289,1057.16,-1203.38,-33.7065,921.953,-1167.05,-79.701,963.377
64,0,-1008.1,75.0302,1452.45,-1087.44,110.297,1187.72,-1000.07,132.61,1287.12,-1170.97,-39.4036,978.123,-1139.35,49.4117,1059.77,-1204.98,-50.1037,926.957,-1167.66,-94.592,969.03
65,0,-1008.59,66.3258,1453.31,-1089.99,100.587,1189.19,-1001.68,123.679,1288.03,-1172.46,-53.5955,982.612,-1141.59,36.0039,1062.6,-1206.64,-66.3936,932.06,-1168.07,-108.909,974.459
66,0,-1009.17,57.326,1453.97,-1092.31,90.997,1190.38,-1003.22,114.612,1288.64,-1173.71,-67.5131,986.747,-1143.8,23.7708,1064.99,-1207.97,-81.6295,936.696,-1168.77,-122.618,979.548
67,0,-1009.53,47.9608,1454.61,-1094.45,81.2075,1191.52,-1004.75,105.304,1289.07,-1174.8,-81.3346,990.375,-1145.56,11.611,1067.16,-1209.23,-96.7077,941,-1169.2,-136.454,984.426
68,0,-1009.9,38.7166,1455.01,-1096.4,71.3136,1192.34,-1006.14,96.0817,1289.46,-1175.78,-94.7225,993.887,-1147.35,-0.422041,1069.08,-1210.36,-111.295,944.896,-1169.76,-149.76,988.854
69,0,-1010.25,29.5279,1455.3,-1097.99,61.3194,1193.01,-1007.32,86.6202,1289.76,-1177.09,-107.798,997.299,-1148.83,-12.3403,1070.79,-1211.39,-125.411,948.562,-1169.96,-163.306,992.938
70,0,-1010.49,20.1918,1455.49,-1099.54,51.1108,1193.48,-1008.51,77.0943,1289.85,-1177.67,-120.617,999.767,-1150.16,-24.1902,1072.2,-1212.12,-139.173,951.478,-1170.89,-175.275,996.063
71,0,-1010.73,10.6944,1455.53,-1100.88,41.1772,1193.88,-1009.54,67.5203,1289.78,-1178.43,-133.317,1002.25,-1151.32,-35.861,1073.37,-1212.58,-153.099,954.294,-1171.05,-188.403,999.202
