Trajectories
100
,,Pauline:T10,,,Pauline:STRN,,,Pauline:CLAV,,,Pauline:C7,,,Pauline:RSHO,,,Pauline:RUPA,,,Pauline:RELB,,,Pauline:RWRB,,,Pauline:RWRA,,,Pauline:RFIN,,,Pauline:LSHO,,,Pauline:LUPA,,,Pauline:LELB,,,Pauline:LWRA,,,Pauline:LWRB,,,Pauline:LFIN,,,Pauline:RFHD,,,Pauline:LFHD,,,Pauline:LBHD,,,Pauline:RBHD,,,Pauline:RPSI,,,Pauline:LPSI,,,Pauline:RASI,,,Pauline:LASI,,,Pauline:RKNE,,,Pauline:RANK,,,Pauline:RTOE,,,Pauline:RHEE,,,Pauline:LKNE,,,Pauline:LANK,,,Pauline:LTOE,,,Pauline:LHEE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
10,0,71.9149,502.52,1103.77,260.547,554.75,1198.06,187.417,532.718,1405.5,85.0865,505.973,1478.48,184.445,358.317,1443.78,195.563,296.169,1210.47,183.071,294.321,1108.07,258.996,252.772,893.111,296.105,272.574,895.796,310.593,249.115,827.458,89.9582,685.696,1445.93,61.5303,737.577,1326.45,32.4916,726.892,1114.87,93.3707,831.708,909.584,45.5853,820.962,913.575,77.6221,861.263,831.977,299.616,519.288,1619.97,286.074,580.917,1629.77,106.138,589.99,1644.15,111.057,468.784,1662.6,83.3623,429.655,1008.62,49.2605,558.203,1014.83,267.952,425.602,968.192,189.963,682.179,982.092,154.069,390.34,501.455,99.3925,386.435,97.7546,256.487,434.215,67.7833,59.2185,418.495,79.2126,88.2891,641.322,494.854,36.6654,617.223,112.912,206.523,623.892,67.6054,16.0444,568.142,77.6121
11,0,71.9246,502.454,1103.82,260.49,554.732,1198.02,187.503,532.756,1405.55,85.195,505.899,1478.49,184.56,358.34,1443.81,195.643,296.197,1210.47,183.143,294.411,1108.05,259.087,252.744,893.14,296.168,272.614,895.78,310.744,249.174,827.526,90.0203,685.683,1445.96,61.5525,737.545,1326.49,32.4931,726.766,1114.86,93.3155,831.576,909.609,45.4873,820.758,913.538,77.5024,861.155,832.062,300.193,518.576,1620.17,286.15,580.994,1629.73,106.257,589.928,1644.15,111.209,468.768,1662.67,83.3875,429.617,1008.62,49.1426,558.017,1014.94,267.964,425.593,968.23,189.976,682.105,982.084,154.063,390.374,501.362,99.3792,386.306,97.8369,256.471,434.205,67.7756,59.2255,418.466,79.2065,88.3138,641.25,494.809,36.6697,617.17,112.861,206.539,623.913,67.6061,16.0341,568.148,77.6031
12,0,71.9824,502.353,1103.84,260.418,554.67,1197.94,187.584,532.689,1405.54,85.276,505.871,1478.55,184.694,358.276,1443.82,195.732,296.244,1210.52,183.21,294.44,1108.12,259.168,252.743,893.156,296.229,272.631,895.781,310.832,249.305,827.485,90.1104,685.645,1445.98,61.5777,737.489,1326.51,32.5023,726.574,1114.8,93.2396,831.41,909.644,45.4695,820.484,913.479,77.3784,860.925,832.037,300.384,518.622,1620.1,286.258,580.947,1629.59,106.393,589.911,1644.17,111.339,469.048,1662.64,83.4178,429.53,1008.64,49.1665,557.943,1014.96,267.966,425.554,968.221,189.989,682.055,982.11,154.072,390.293,501.419,99.3747,386.331,97.8042,256.497,434.242,67.7581,59.2394,418.454,79.223,88.3269,641.244,494.869,36.6474,617.224,112.914,206.553,623.891,67.5886,16.0414,568.146,77.599
13,0,72.0116,502.309,1103.87,260.362,554.611,1197.87,187.629,532.641,1405.53,85.3487,505.832,1478.56,184.785,358.256,1443.9,195.843,296.27,1210.51,183.257,294.441,1108.12,259.303,252.72,893.204,296.29,272.617,895.805,310.998,249.402,827.527,90.2014,685.6,1445.99,61.6151,737.423,1326.53,32.5294,726.385,1114.77,93.1137,831.182,909.663,45.4016,820.234,913.435,77.2286,860.677,832.06,300.815,518.487,1620.34,286.35,581.088,1629.61,106.512,589.93,1644.19,111.498,469.099,1662.69,83.4287,429.441,1008.66,49.3227,557.948,1014.89,267.976,425.47,968.204,190.006,681.995,982.104,154.087,390.213,501.416,99.3426,386.365,97.7614,256.511,434.23,67.7622,59.2338,418.45,79.2038,88.3653,641.157,494.838,36.6792,617.204,112.902,206.537,623.916,67.623,16.0255,568.171,77.5784
14,0,72.0281,502.249,1103.92,260.317,554.516,1197.81,188.048,533.945,1406.23,85.397,505.865,1478.6,184.867,358.239,1443.97,195.941,296.335,1210.52,183.359,294.433,1108.11,259.415,252.775,893.181,296.367,272.638,895.869,311.169,249.478,827.567,90.2847,685.572,1446.02,61.6647,737.381,1326.56,32.5122,726.383,1114.82,93.0192,830.88,909.606,45.336,820.008,913.437,77.106,860.409,832.058,300.993,518.629,1620.28,286.459,581.051,1629.54,106.636,589.914,1644.23,111.634,469.18,1662.67,83.4307,429.37,1008.67,49.3576,557.883,1014.88,267.988,425.396,968.212,190.016,681.893,982.095,154.096,390.201,501.383,99.3402,386.342,97.7511,256.507,434.217,67.7139,59.2301,418.449,79.2277,88.4008,641.083,494.821,36.6996,617.194,112.92,206.556,623.914,67.6169,16.0485,568.175,77.5893
15,0,72.0597,502.178,1103.95,260.296,554.446,1197.76,188.081,533.295,1405.87,85.5097,505.846,1478.63,184.983,358.23,1443.97,196.061,296.274,1210.56,183.412,294.449,1108.24,259.511,252.713,893.264,296.402,272.707,895.919,311.368,249.57,827.626,90.3091,685.563,1446.03,61.7186,737.374,1326.58,32.522,726.16,1114.71,92.9369,830.57,909.513,45.2611,819.73,913.37,76.9396,860.141,832.073,301.087,518.634,1620.31,286.524,581.114,1629.52,106.746,589.916,1644.29,111.786,469.38,1662.7,83.4544,429.263,1008.68,49.3728,557.835,1014.91,267.959,425.348,968.224,190.031,681.855,982.123,154.096,390.211,501.343,99.3137,386.327,97.7827,256.482,434.24,67.6936,59.2423,418.449,79.2226,88.4118,641.016,494.811,36.6923,617.179,112.932,206.566,623.927,67.6115,16.0343,568.14,77.5982
16,0,72.0719,502.132,1103.96,260.249,554.415,1197.76,188.165,533.9,1406.28,85.5721,505.837,1478.66,185.026,358.25,1444.05,196.153,296.253,1210.61,183.484,294.335,1108.25,259.58,252.845,893.289,296.487,272.669,895.964,311.446,249.644,827.713,90.3713,685.583,1446.03,61.7854,737.261,1326.56,32.5012,726.111,1114.78,92.8311,830.241,909.407,45.1735,819.455,913.317,76.7737,859.874,832.035,301.153,518.509,1620.22,286.649,581.205,1629.52,106.878,589.911,1644.32,111.887,469.296,1662.79,83.4629,429.207,1008.7,49.4022,557.732,1014.93,267.932,425.236,968.193,190.053,681.807,982.117,154.089,390.148,501.382,99.3438,386.284,97.8061,256.495,434.235,67.7157,59.2628,418.438,79.2528,88.4134,640.955,494.82,36.695,617.179,112.945,206.554,623.908,67.5932,16.0388,568.124,77.5878
17,0,72.0579,502.109,1104,260.241,554.336,1197.72,188.223,533.893,1406.29,85.6484,505.765,1478.69,185.093,358.264,1444.1,196.237,296.24,1210.65,183.56,294.246,1108.35,259.686,252.834,893.371,296.609,272.66,896.119,311.565,249.763,827.819,90.3854,685.585,1446.06,61.8425,737.252,1326.57,32.5024,725.977,1114.75,92.7111,829.919,909.294,45.1142,819.209,913.252,76.5617,859.589,831.995,300.975,518.8,1620.08,286.771,581.206,1629.5,107.023,589.948,1644.33,112.05,469.269,1662.81,83.4545,429.139,1008.73,49.4447,557.636,1014.93,267.919,425.148,968.189,190.068,681.711,982.076,154.075,390.116,501.339,98.4716,383.664,99.754,256.486,434.236,67.7012,59.2566,418.442,79.2027,88.4051,640.875,494.811,36.6818,617.155,112.932,206.557,623.918,67.6404,16.0217,568.131,77.5911
18,0,72.1155,502.033,1104.02,260.201,554.251,1197.73,188.261,533.906,1406.32,85.7001,505.719,1478.73,185.199,358.204,1444.1,196.342,296.171,1210.69,183.665,294.245,1108.37,259.786,252.875,893.39,296.679,272.709,896.186,311.724,249.804,827.952,90.4368,685.544,1446.05,61.8931,737.18,1326.55,32.4905,725.885,1114.72,92.582,829.652,909.172,45.0408,819.015,913.221,76.3498,859.39,832.033,301.138,518.719,1620.04,286.845,581.251,1629.5,107.115,589.949,1644.31,112.224,469.334,1662.87,83.425,429.055,1008.74,49.4573,557.599,1014.94,267.88,425.009,968.227,190.103,681.655,982.097,154.076,390.027,501.372,99.344,386.275,97.7444,256.476,434.259,67.7177,59.235,418.437,79.2028,88.4041,640.843,494.885,36.6973,617.139,112.951,206.546,623.932,67.6276,16.0527,568.102,77.5802
19,0,72.1156,501.989,1104.06,260.192,554.186,1197.66,188.317,533.91,1406.34,85.7552,505.717,1478.78,185.238,358.239,1444.13,196.43,296.158,1210.73,183.751,294.04,1108.38,259.891,252.873,893.438,296.753,272.695,896.237,311.842,249.848,827.988,90.4889,685.534,1446.02,61.9243,737.124,1326.51,32.5022,725.779,1114.69,92.4452,829.369,909.03,44.9469,818.766,913.108,76.1242,859.193,832.037,301.224,518.741,1620.06,286.95,581.356,1629.52,107.233,589.966,1644.3,112.337,469.37,1662.93,83.3964,429.034,1008.76,49.4448,557.585,1014.98,267.842,424.884,968.221,190.132,681.558,982.09,154.058,390.012,501.329,99.3367,386.242,97.7855,256.473,434.252,67.6985,59.2372,418.403,79.1947,88.4161,640.777,494.875,36.6943,617.123,112.967,206.562,623.93,67.6205,16.0539,568.115,77.6178
